Country,Page,Range,Type,Provider
MA,10,2125283XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,10,2125285XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,10,2125285XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,11,2125290XXXXX,geographic,Wana Corporate S.A. (inwi)
MA,13,2125354XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,11,21252980XXXX,geographic,Wana Corporate S.A. (inwi)
MA,16,21253880XXXX,geographic,Wana Corporate S.A. (inwi)
MA,11,21252990XXXX,geographic,Wana Corporate S.A. (inwi)
MA,10,2125286XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,11,21253XXXXXXX,geographic,
MA,10,2125287XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,13,2125355XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,16,21253890XXXX,geographic,Wana Corporate S.A. (inwi)
MA,11,212530XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,16,21253890XXXX,geographic,Wana Corporate S.A. (inwi)
MA,13,2125356XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,14,2125359XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,10,2125287XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,10,2125287XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,13,2125356XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,14,2125360XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,16,2126XXXXXXXX,mobile,
MA,10,2125288XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,26,2128903XXXXX,premiumrate,
MA,12,212532XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,13,2125356XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,11,212530XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,10,2125288XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,26,2128904XXXXX,premiumrate,
MA,14,2125361XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,12,212532XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,11,212531XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,13,2125357XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,10,2125288XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,26,2128906XXXXX,premiumrate,
MA,12,212532XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,14,2125361XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,25,2127XXXXXXXX,mobile,
MA,13,2125357XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,11,212531XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,15,2125366XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,26,212892XXXXXX,satellite,GlobalStar North Africa
MA,16,212600XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,16,212601XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,16,212602XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,14,2125361XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,15,2125367XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,16,212603XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,16,212604XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,16,212605XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,25,21280XXXXXXX,freephone,
MA,17,212606XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,17,212607XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,17,212608XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,17,212610XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,12,212532XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,17,212611XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,6,212396XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,17,212612XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,17,212613XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,13,2125358XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,14,2125362XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,26,2128920XXXXX,satellite,GlobalStar North Africa
MA,11,212531XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,17,212614XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,17,212615XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,17,212616XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,18,212617XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,18,212618XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,18,212619XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,18,212620XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,13,2125358XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,18,212621XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,18,212622XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,4,212355XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,14,2125363XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,7,21252XXXXXXX,geographic,
MA,12,212532XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,2,212232XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,6,212396XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,26,2128921XXXXX,satellite,GlobalStar North Africa
MA,18,212623XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,18,212624XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,18,212625XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,11,212531XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,18,212626XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,1,212,proper,
MA,25,2128000XXXXX,freephone,
MA,12,212532XXXXXX,geographic,Médi Télécom S.A. (Méditel)
MA,19,212627XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,15,2125367XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,19,212628XXXXXX,mobile,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,19,212629XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,13,2125358XXXXX,geographic,Maroc Telecom S.A. (Itissalat al-Maghrib)
MA,19,212630XXXXXX,mobile,Wana Corporate S.A. (inwi)
MA,19,212631XXXXXX,mobile,Médi Télécom S.A. (Méditel)
MA,7,212520XXXXXX,geographic,Médi Télécom S.A. (Méditel)
