Country,Page,Range,Type,Provider
MC,1,377,proper,
MC,1,+3773XXXXXXX,mobile,Monaco Telecom
MC,1,+37744XXXXXX,mobile,Monaco Telecom
MC,1,+377451XXXXX,mobile,Monaco Telecom
MC,1,+377452XXXXX,mobile,Monaco Telecom
MC,1,+377453XXXXX,mobile,Monaco Telecom
MC,1,+377454XXXXX,mobile,Monaco Telecom
MC,1,+377455XXXXX,mobile,Monaco Telecom
MC,1,+377456XXXXX,mobile,Monaco Telecom
MC,2,+377457XXXXX,mobile,Monaco Telecom
MC,2,+377458XXXXX,mobile,Monaco Telecom
MC,2,+377459XXXXX,mobile,Monaco Telecom
MC,2,+3776XXXXXXXX,mobile,Monaco Telecom
MC,2,+3777XXXX,audiotext,
MC,2,+377870XXXXX,geographic,
MC,2,+3779XXXXXXX,geographic,
