Country,Page,Range,Type,Provider
MD,2,+37322XXXXXX,geographic,
MD,1,373,proper,
MD,2,+373230XXXXX,geographic,
MD,1,+37317XX,routingcode,
MD,2,+373231XXXXX,geographic,
MD,4,+373259XXXXX,geographic,
MD,1,+37319XX,internetserviceprovider,
MD,13,+373905XXXXX,premiumrate,
MD,4,+373262XXXXX,geographic,
MD,2,+373235XXXXX,geographic,
MD,1,+373190X,internetserviceprovider,
MD,13,+373906XXXXX,premiumrate,
MD,4,+373263XXXXX,geographic,
MD,5,+373600XXXXX,mobile,Orange Moldova S.A.
MD,6,+373601XXXXX,mobile,Orange Moldova S.A.
MD,4,+373264XXXXX,geographic,
MD,6,+373602XXXXX,mobile,Orange Moldova S.A.
MD,6,+373603XXXXX,mobile,Orange Moldova S.A.
MD,6,+373604XXXXX,mobile,Orange Moldova S.A.
MD,6,+373605XXXXX,mobile,Orange Moldova S.A.
MD,6,+373606XXXXX,mobile,Orange Moldova S.A.
MD,6,+373607XXXXX,mobile,Orange Moldova S.A.
MD,6,+373608XXXXX,mobile,Orange Moldova S.A.
MD,1,3731900,internetserviceprovider,
MD,6,+373609XXXXX,mobile,Orange Moldova S.A.
MD,6,+373610XXXXX,mobile,Orange Moldova S.A.
MD,2,+373236XXXXX,geographic,
MD,7,+373611XXXXX,mobile,Orange Moldova S.A.
MD,7,+373620XXXXX,mobile,Orange Moldova S.A.
MD,7,+373621XXXXX,mobile,Orange Moldova S.A.
MD,4,+373265XXXXX,geographic,
MD,7,+373630XXXXX,mobile,Moldcell S.A.
MD,7,+373631XXXXX,mobile,Moldcell S.A.
MD,2,+373237XXXXX,geographic,
MD,1,+373191X,internetserviceprovider,
MD,3,+373246XXXXX,geographic,
MD,7,+373671XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,4,+373268XXXXX,geographic,
MD,7,+373672XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,+373673XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,+373674XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,+373675XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,1,3731919,internetserviceprovider,
MD,8,+373676XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,8,+373677XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,2,+373241XXXXX,geographic,
MD,8,+373680XXXXX,mobile,Orange Moldova S.A.
MD,8,+373681XXXXX,mobile,Orange Moldova S.A.
MD,3,+373247XXXXX,geographic,
MD,4,+373269XXXXX,geographic,
MD,2,+373242XXXXX,geographic,
MD,8,+373682XXXXX,mobile,Orange Moldova S.A.
MD,8,+373683XXXXX,mobile,Orange Moldova S.A.
MD,8,+373684XXXXX,mobile,Orange Moldova S.A.
MD,5,+373277XXXXX,geographic,
MD,8,+373685XXXXX,mobile,Orange Moldova S.A.
MD,2,+373243XXXXX,geographic,
MD,8,+373686XXXXX,mobile,Orange Moldova S.A.
MD,8,+373687XXXXX,mobile,Orange Moldova S.A.
MD,4,+373271XXXXX,geographic,
MD,5,+373291XXXXX,geographic,
MD,3,+373248XXXXX,geographic,
MD,1,+373192X,internetserviceprovider,
MD,9,+373688XXXXX,mobile,Orange Moldova S.A.
MD,4,+373272XXXXX,geographic,
MD,9,+373689XXXXX,mobile,Orange Moldova S.A.
MD,2,+373244XXXXX,geographic,
MD,9,+373690XXXXX,mobile,Orange Moldova S.A.
MD,9,+373691XXXXX,mobile,Orange Moldova S.A.
MD,9,+373692XXXXX,mobile,Orange Moldova S.A.
MD,3,+373249XXXXX,geographic,
MD,5,+373293XXXXX,geographic,
MD,9,+373693XXXXX,mobile,Orange Moldova S.A.
MD,9,+373694XXXXX,mobile,Orange Moldova S.A.
MD,9,+373695XXXXX,mobile,Orange Moldova S.A.
MD,9,+373696XXXXX,mobile,Orange Moldova S.A.
MD,9,+373697XXXXX,mobile,Orange Moldova S.A.
MD,4,+373273XXXXX,geographic,
MD,10,+373698XXXXX,mobile,Orange Moldova S.A.
MD,10,+373699XXXXX,mobile,Orange Moldova S.A.
MD,3,+373250XXXXX,geographic,
MD,10,+373760XXXXX,mobile,Moldcell S.A.
MD,12,+373800XXXXX,freephone,
MD,1,+373193X,internetserviceprovider,
MD,10,+373767XXXXX,mobile,Moldcell S.A.
MD,10,+373780XXXXX,mobile,Moldcell S.A.
MD,3,+373251XXXXX,geographic,
MD,5,+373294XXXXX,geographic,
MD,10,+373781XXXXX,mobile,Moldcell S.A.
MD,12,+3738006XXXX,freephone,International Freephone Service
MD,10,+373782XXXXX,mobile,Moldcell S.A.
MD,10,+373783XXXXX,mobile,Moldcell S.A.
MD,10,+373784XXXXX,mobile,Moldcell S.A.
MD,1,+373194X,internetserviceprovider,
MD,10,+373785XXXXX,mobile,Moldcell S.A.
MD,11,+373786XXXXX,mobile,Moldcell S.A.
MD,11,+373788XXXXX,mobile,Moldcell S.A.
MD,11,+373790XXXXX,mobile,Moldcell S.A.
MD,11,+373791XXXXX,mobile,Moldcell S.A.
MD,5,+373297XXXXX,geographic,
MD,3,+373252XXXXX,geographic,
MD,11,+373792XXXXX,mobile,Moldcell S.A.
MD,11,+373793XXXXX,mobile,Moldcell S.A.
MD,11,+373794XXXXX,mobile,Moldcell S.A.
MD,3,+373254XXXXX,geographic,
MD,5,+373298XXXXX,geographic,
MD,12,+373803XXXXX,universalaccess,
MD,11,+373795XXXXX,mobile,Moldcell S.A.
MD,3,+373256XXXXX,geographic,
MD,12,+373808XXXXX,localrate,
MD,11,+373796XXXXX,mobile,Moldcell S.A.
MD,11,+373797XXXXX,mobile,Moldcell S.A.
MD,3,+373258XXXXX,geographic,
MD,12,+373798XXXXX,mobile,Moldcell S.A.
MD,12,+373798XXXXX,mobile,Moldcell S.A.
MD,12,+373798XXXXX,mobile,Moldcell S.A.
MD,12,+373799XXXXX,mobile,Moldcell S.A.
MD,5,+373299XXXXX,geographic,
MD,12,+373821XXXXX,internetserviceprovider,
MD,5,+37330XXXXXX,nationalgeographic,
MD,12,+373900XXXXX,premiumrate,
MD,5,+37338XXXXXX,nationalgeographic,
