Country,Page,Range,Type,Provider
MD,12,373798XXXXX,mobile,Moldcell S.A.
MD,12,373799XXXXX,mobile,Moldcell S.A.
MD,11,373796XXXXX,mobile,Moldcell S.A.
MD,11,373797XXXXX,mobile,Moldcell S.A.
MD,11,373790XXXXX,mobile,Moldcell S.A.
MD,11,373791XXXXX,mobile,Moldcell S.A.
MD,11,373794XXXXX,mobile,Moldcell S.A.
MD,11,373795XXXXX,mobile,Moldcell S.A.
MD,11,373792XXXXX,mobile,Moldcell S.A.
MD,11,373793XXXXX,mobile,Moldcell S.A.
MD,11,373788XXXXX,mobile,Moldcell S.A.
MD,10,373785XXXXX,mobile,Moldcell S.A.
MD,11,373786XXXXX,mobile,Moldcell S.A.
MD,10,373780XXXXX,mobile,Moldcell S.A.
MD,10,373783XXXXX,mobile,Moldcell S.A.
MD,10,373784XXXXX,mobile,Moldcell S.A.
MD,10,373781XXXXX,mobile,Moldcell S.A.
MD,10,373782XXXXX,mobile,Moldcell S.A.
MD,10,373767XXXXX,mobile,Moldcell S.A.
MD,10,373760XXXXX,mobile,Moldcell S.A.
MD,8,373677XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,373675XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,8,373676XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,373673XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,373674XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,373671XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,7,373672XXXXX,mobile,Moldtelecom S.A. (CDMA)
MD,9,373688XXXXX,mobile,Orange Moldova S.A.
MD,9,373689XXXXX,mobile,Orange Moldova S.A.
MD,8,373686XXXXX,mobile,Orange Moldova S.A.
MD,8,373687XXXXX,mobile,Orange Moldova S.A.
MD,8,373680XXXXX,mobile,Orange Moldova S.A.
MD,8,373681XXXXX,mobile,Orange Moldova S.A.
MD,8,373684XXXXX,mobile,Orange Moldova S.A.
MD,8,373685XXXXX,mobile,Orange Moldova S.A.
MD,8,373682XXXXX,mobile,Orange Moldova S.A.
MD,8,373683XXXXX,mobile,Orange Moldova S.A.
MD,7,373631XXXXX,mobile,Moldcell S.A.
MD,7,373630XXXXX,mobile,Moldcell S.A.
MD,7,373611XXXXX,mobile,Orange Moldova S.A.
MD,6,373610XXXXX,mobile,Orange Moldova S.A.
MD,7,373620XXXXX,mobile,Orange Moldova S.A.
MD,7,373621XXXXX,mobile,Orange Moldova S.A.
MD,10,373699XXXXX,mobile,Orange Moldova S.A.
MD,9,373697XXXXX,mobile,Orange Moldova S.A.
MD,10,373698XXXXX,mobile,Orange Moldova S.A.
MD,9,373691XXXXX,mobile,Orange Moldova S.A.
MD,9,373692XXXXX,mobile,Orange Moldova S.A.
MD,9,373690XXXXX,mobile,Orange Moldova S.A.
MD,9,373695XXXXX,mobile,Orange Moldova S.A.
MD,9,373696XXXXX,mobile,Orange Moldova S.A.
MD,9,373693XXXXX,mobile,Orange Moldova S.A.
MD,9,373694XXXXX,mobile,Orange Moldova S.A.
MD,5,373600XXXXX,mobile,Orange Moldova S.A.
MD,6,373601XXXXX,mobile,Orange Moldova S.A.
MD,6,373604XXXXX,mobile,Orange Moldova S.A.
MD,6,373605XXXXX,mobile,Orange Moldova S.A.
MD,6,373602XXXXX,mobile,Orange Moldova S.A.
MD,6,373603XXXXX,mobile,Orange Moldova S.A.
MD,6,373608XXXXX,mobile,Orange Moldova S.A.
MD,6,373609XXXXX,mobile,Orange Moldova S.A.
MD,6,373606XXXXX,mobile,Orange Moldova S.A.
MD,6,373607XXXXX,mobile,Orange Moldova S.A.
