Country,Page,Range,Type,Provider
ME,1,382,proper,
ME,1,+38220XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38220XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38220XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38233XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,3,+38252XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38230XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38240XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,3,+38252XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38240XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38231XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,4,+382771XXXXX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38240XXXXX(X),geographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38250XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38232XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,4,+382772000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+382777002XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38232XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,5,+382774000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,7,+38278400XXX,VoIPtelephony,Wimax Montenegro
ME,2,+38250XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,7,+38278500XXX,VoIPtelephony,VoIP Telekom
ME,1,+38232XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38251XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+38280XXXXXX,freephone,
ME,4,+382772001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+382778000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,5,+382774001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,1,+38233XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,7,+38278501XXX,VoIPtelephony,VoIP Telekom
ME,2,+38251XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+38283XXXXXX,sharedcost,
ME,4,+382772511XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+382778001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,5,+38277433XXX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38251XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+38288000XXX,sharedcost,Dynacom
ME,5,+382775000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,2,+38251XXXXXX,geographic,Crnogorski Telekom a.d. (T-Com)
ME,5,+382775001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,4,+382772513XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+382779000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,7,+38278502XXX,VoIPtelephony,VoIP Telekom
ME,4,+382772514XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+38288001XXX,sharedcost,Dynacom
ME,3,+38277XXXXXX,nationalgeographic,
ME,4,+38277272XXX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,4,+38277273XXX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,5,+382776000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+382779001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,7,+38278503XXX,VoIPtelephony,VoIP Telekom
ME,4,+382773000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+38288002XXX,sharedcost,Dynacom
ME,5,+382776001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+38278XXXXXX,VoIPtelephony,
ME,7,+38278504XXX,VoIPtelephony,VoIP Telekom
ME,8,+38288003XXX,sharedcost,Dynacom
ME,6,+3827810XXXX,VoIPtelephony,m:tel d.o.o.
ME,5,+382776008XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+38288004XXX,sharedcost,Dynacom
ME,6,+3827811XXXX,VoIPtelephony,m:tel d.o.o.
ME,7,+382786XXXXX,VoIPtelephony,Skylinks Telecom
ME,5,+382777000XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,4,+382773001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,8,+3828810000X,sharedcost,VoIP Telekom
ME,7,+382787XXXXX,VoIPtelephony,Skylinks Telecom
ME,5,+382777001XX,nationalgeographic,Crnogorski Telekom a.d. (T-Com)
ME,6,+38278222XXX,VoIPtelephony,Pronto-tel
ME,8,+38294XXXXXX,premiumrate,
ME,7,+382788XXXXX,VoIPtelephony,Skylinks Telecom
ME,6,+3827830XXXX,VoIPtelephony,BBMi
ME,8,+38295XXXXXX,premiumrate,
ME,7,+3827890XXXX,VoIPtelephony,PTT Inženjering (IPMont)
