Country,Page,Range,Type,Provider
MF,2,59059052XXXX,geographic,Orange
MF,2,59059056XXXX,geographic,Outremer Telecom
MF,2,59059058XXXX,geographic,Canal Telecom
MF,1,59059000XXXX,geographic,Saint Martin cable
MF,2,59059077XXXX,geographic,Dauphin telecom
MF,2,59059079XXXX,geographic,Diabolocom SAS
MF,1,59059007XXXX,geographic,Digicel Antilles Françaises Guyane
MF,2,59059087XXXX,geographic,Orange
MF,1,59059009XXXX,geographic,Equant France
MF,1,59059013XXXX,geographic,Outremer Telecom
MF,1,59059027XXXX,geographic,Orange
MF,1,59059029XXXX,geographic,Orange
MF,1,59059030XXXX,geographic,Igwan.net
MF,1,59059043XXXX,geographic,Thdtel
MF,1,59059050XXXX,geographic,Orange
MF,1,59059051XXXX,geographic,Orange
