Country,Page,Range,Type,Provider
MH,2,+6925453XXX,geographic,Islands National Telecommunications Authority (MINTA)
MH,2,+6925454XXX,geographic,Islands National Telecommunications Authority (MINTA)
MH,2,+692635XXXX,satellite,Islands National Telecommunications Authority (MINTA)
MH,1,692,proper,
MH,2,6929997,voicemail(mobile),Islands National Telecommunications Authority (MINTA)
MH,2,6929998,voicemail(mobile),Islands National Telecommunications Authority (MINTA)
MH,1,+692235XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,1,+692329XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,1,+692455XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,1,+692456XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,1,+692247XXXX,geographic,Islands National Telecommunications Authority (MINTA)
MH,1,+692525XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,2,+692565XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,2,+692625XXXX,mobile,Islands National Telecommunications Authority (MINTA)
MH,1,+692528XXXX,geographic,Islands National Telecommunications Authority (MINTA)
MH,1,+6925451XXX,geographic,Islands National Telecommunications Authority (MINTA)
MH,1,+6925452XXX,geographic,Islands National Telecommunications Authority (MINTA)
