Country,Page,Range,Type,Provider
MK,15,3894757XXXX,geographic,T-Mobile Makedonija AD
MK,10,3894351XXXX,geographic,One AD
MK,11,389443XXXXX,geographic,Makedonski Telekom AD
MK,15,38947609XXX,geographic,Aikol
MK,10,3894352XXXX,geographic,One AD
MK,1,389,proper,
MK,1,3892XXXXXXX,geographic,
MK,11,389444XXXXX,geographic,Makedonski Telekom AD
MK,2,3892611XXXX,geographic,Infel Netplus
MK,1,38922XXXXXX,geographic,Makedonski Telekom AD
MK,10,3894354XXXX,geographic,One AD
MK,1,38923XXXXXX,geographic,Makedonski Telekom AD
MK,2,3892612XXXX,geographic,Aikol
MK,1,389251XXXXX,geographic,One AD
MK,10,3894355XXXX,geographic,Neotel
MK,2,3892613XXXX,geographic,Cabletel (Blizoo)
MK,1,389252XXXXX,geographic,One AD
MK,11,3894451XXXX,geographic,One AD
MK,10,3894357XXXX,geographic,T-Mobile Makedonija AD
MK,15,38947610XXX,geographic,Aikol
MK,14,389468XXXXX,geographic,Makedonski Telekom AD
MK,2,3892614XXXX,geographic,Cabletel (Blizoo)
MK,3,3893152XXXX,geographic,One AD
MK,8,3893457XXXX,geographic,T-Mobile Makedonija AD
MK,14,38947XXXXXX,geographic,
MK,18,3898XXXXXXX,freephone,
MK,3,3893154XXXX,geographic,One AD
MK,16,3894854XXXX,geographic,One AD
MK,11,3894452XXXX,geographic,One AD
MK,4,389322XXXXX,geographic,Makedonski Telekom AD
MK,15,38947612XXX,geographic,Aikol
MK,10,38943609XXX,geographic,Aikol
MK,1,389254XXXXX,geographic,One AD
MK,2,38931XXXXXX,geographic,
MK,18,3898XXXXXXX,sharedcost,
MK,9,3894254XXXX,geographic,One AD
MK,14,38947XXXXXX,geographic,
MK,15,38947616XXX,geographic,Infel Netplus
MK,4,389323XXXXX,geographic,Makedonski Telekom AD
MK,10,38943612XXX,geographic,Aikol
MK,11,3894454XXXX,geographic,One AD
MK,3,3893155XXXX,geographic,Neotel
MK,8,38934609XXX,geographic,Aikol
MK,11,3894455XXXX,geographic,Neotel
MK,4,389324XXXXX,geographic,Makedonski Telekom AD
MK,12,38945XXXXXX,geographic,
MK,15,38948XXXXXX,geographic,
MK,2,38931XXXXXX,geographic,
MK,16,3894855XXXX,geographic,Neotel
MK,13,38946XXXXXX,geographic,
MK,3,3893157XXXX,geographic,T-Mobile Makedonija AD
MK,8,38934611XXX,geographic,Infel Netplus
MK,11,3894457XXXX,geographic,T-Mobile Makedonija AD
MK,2,38931XXXXXX,geographic,
MK,12,389452XXXXX,geographic,Makedonski Telekom AD
MK,1,389255XXXXX,geographic,Neotel
MK,13,389462XXXXX,geographic,Makedonski Telekom AD
MK,3,38931613XXX,geographic,Cabletel (Blizoo)
MK,7,38934XXXXXX,geographic,
MK,4,3893251XXXX,geographic,One AD
MK,9,3894255XXXX,geographic,Neotel
MK,15,38948XXXXXX,geographic,
MK,16,3894857XXXX,geographic,T-Mobile Makedonija AD
MK,18,389800XXXXX,freephone,
MK,16,38970XXXXXX,mobile,T-Mobile Makedonija AD
MK,8,38934612XXX,geographic,Aikol
MK,16,38971XXXXXX,mobile,T-Mobile Makedonija AD
MK,14,38947XXXXXX,geographic,
MK,2,389313XXXXX,geographic,Makedonski Telekom AD
MK,11,38944611XXX,geographic,Infel Netplus
MK,17,38972XXXXXX,mobile,T-Mobile Makedonija AD
MK,18,3898009XXXX,freephone,
MK,4,3893252XXXX,geographic,One AD
MK,13,3894651XXXX,geographic,One AD
MK,6,38933XXXXXX,geographic,
