Country,Page,Range,Type,Provider
ML,12,+2232198XXXX,geographic,Sotelma S.A.
ML,10,+2232183XXXX,geographic,Sotelma S.A.
ML,15,2237200,freephone,
ML,15,2237250,internetserviceprovider,Sotelma S.A.
ML,10,+2232184XXXX,geographic,Sotelma S.A.
ML,22,+22380012XXX,sharedcost,Orange Mali S.A.
ML,12,+2232199XXXX,geographic,Sotelma S.A.
ML,10,+2232184XXXX,geographic,Sotelma S.A.
ML,11,+2232188XXXX,geographic,Sotelma S.A.
ML,15,2237251,internetserviceprovider,Malinet
ML,5,+223214XXXXX,geographic,Sotelma S.A.
ML,1,223,proper,
ML,12,+22324XXXXXX,geographic,Orange Mali S.A.
ML,1,+22320XXXXXX,geographic,
ML,13,+22350XXXXXX,mobile,Atel S.A.
ML,13,+223655XXXXX,mobile,Sotelma S.A. (Malitel)
ML,13,+223443XXXXX,geographic,Orange Mali S.A.
ML,13,+223656XXXXX,mobile,Sotelma S.A. (Malitel)
ML,13,+223657XXXXX,mobile,Sotelma S.A. (Malitel)
ML,11,+2232189XXXX,geographic,Sotelma S.A.
ML,10,+2232185XXXX,geographic,Sotelma S.A.
ML,13,+223658XXXXX,mobile,Sotelma S.A. (Malitel)
ML,13,+223659XXXXX,mobile,Sotelma S.A. (Malitel)
ML,15,2237252,internetserviceprovider,CEFIB
ML,13,+223665XXXXX,mobile,Sotelma S.A. (Malitel)
ML,13,+223449XXXXX,geographic,Orange Mali S.A.
ML,1,+223202XXXXX,geographic,Sotelma S.A.
ML,22,+22380021XXX,premiumrate,Sotelma S.A.
ML,12,+223400XXXXX,geographic,Atel S.A.
ML,13,+2236XXXXXXX,mobile,Sotelma S.A. (Malitel)
ML,11,+2232189XXXX,geographic,Sotelma S.A.
ML,5,+2232142XXXX,geographic,Sotelma S.A.
ML,10,+2232185XXXX,geographic,Sotelma S.A.
ML,14,+223666XXXXX,mobile,Sotelma S.A. (Malitel)
ML,14,+223667XXXXX,mobile,Sotelma S.A. (Malitel)
ML,14,+223668XXXXX,mobile,Sotelma S.A. (Malitel)
ML,15,2237255,internetserviceprovider,Afribone
ML,22,+22380022XXX,premiumrate,Orange Mali S.A.
ML,14,+223669XXXXX,mobile,Sotelma S.A. (Malitel)
ML,12,+223401XXXXX,geographic,Atel S.A.
ML,10,+2232186XXXX,geographic,Sotelma S.A.
ML,14,+223695XXXXX,mobile,Sotelma S.A. (Malitel)
ML,14,+223696XXXXX,mobile,Sotelma S.A. (Malitel)
ML,5,+2232143XXXX,geographic,Sotelma S.A.
ML,11,+223219XXXXX,geographic,Sotelma S.A.
ML,14,+223697XXXXX,mobile,Sotelma S.A. (Malitel)
ML,1,+2232020XXXX,geographic,Sotelma S.A.
ML,14,+223698XXXXX,mobile,Sotelma S.A. (Malitel)
ML,17,2237280,internetserviceprovider,CFCI
ML,14,+223699XXXXX,mobile,Sotelma S.A. (Malitel)
ML,16,2237262,internetserviceprovider,SIPRES
ML,2,+2232029XXXX,geographic,Sotelma S.A.
ML,15,2237256,internetserviceprovider,Bureaucratic service
ML,14,+2237XXXXXXX,mobile,Orange Mali S.A.
ML,17,+223730XXXXX,mobile,Orange Mali S.A.
ML,17,+223731XXXXX,mobile,Orange Mali S.A.
ML,12,+223402XXXXX,geographic,Atel S.A.
ML,17,+223732XXXXX,mobile,Orange Mali S.A.
ML,1,+2232021XXXX,geographic,Sotelma S.A.
ML,10,+2232186XXXX,geographic,Sotelma S.A.
ML,17,+223733XXXXX,mobile,Orange Mali S.A.
ML,17,+223734XXXXX,mobile,Orange Mali S.A.
ML,17,+223735XXXXX,mobile,Orange Mali S.A.
ML,5,+2232144XXXX,geographic,Sotelma S.A.
ML,11,+2232192XXXX,geographic,Sotelma S.A.
ML,17,+223736XXXXX,mobile,Orange Mali S.A.
ML,16,2237263,internetserviceprovider,Spider
ML,17,+223737XXXXX,mobile,Orange Mali S.A.
ML,15,2237257,internetserviceprovider,Cyfed refer
ML,17,+223738XXXXX,mobile,Orange Mali S.A.
ML,18,+223739XXXXX,mobile,Orange Mali S.A.
ML,2,+22320700XXX,VoIPtelephony,Sotelma S.A.
ML,18,+223740XXXXX,mobile,Orange Mali S.A.
ML,18,+223741XXXXX,mobile,Orange Mali S.A.
ML,10,+2232187XXXX,geographic,Sotelma S.A.
ML,18,+223744XXXXX,mobile,Orange Mali S.A.
ML,18,+223745XXXXX,mobile,Orange Mali S.A.
ML,11,+2232193XXXX,geographic,Sotelma S.A.
ML,12,+223403XXXXX,geographic,Atel S.A.
ML,18,+223746XXXXX,mobile,Orange Mali S.A.
ML,5,+2232145XXXX,geographic,Sotelma S.A.
ML,18,+223747XXXXX,mobile,Orange Mali S.A.
ML,18,+223750XXXXX,mobile,Orange Mali S.A.
ML,4,+2232127XXXX,geographic,Sotelma S.A.
ML,18,+223751XXXXX,mobile,Orange Mali S.A.
ML,11,+2232194XXXX,geographic,Sotelma S.A.
ML,18,+223752XXXXX,mobile,Orange Mali S.A.
ML,12,+223404XXXXX,geographic,Atel S.A.
ML,21,+22380XXXXXX,freephone,
ML,19,+223753XXXXX,mobile,Orange Mali S.A.
ML,19,+223754XXXXX,mobile,Orange Mali S.A.
ML,1,+2232022XXXX,geographic,Sotelma S.A.
ML,19,+223760XXXXX,mobile,Orange Mali S.A.
ML,9,+2232176XXXX,VoIPtelephony,Sotelma S.A.
ML,5,+2232146XXXX,geographic,Sotelma S.A.
ML,19,+223761XXXXX,mobile,Orange Mali S.A.
ML,19,+223762XXXXX,mobile,Orange Mali S.A.
ML,19,+223763XXXXX,mobile,Orange Mali S.A.
ML,10,+2232187XXXX,geographic,Sotelma S.A.
ML,16,2237264,internetserviceprovider,ARC informatique
ML,19,+223764XXXXX,mobile,Orange Mali S.A.
ML,19,+223765XXXXX,mobile,Orange Mali S.A.
ML,11,+2232195XXXX,geographic,Sotelma S.A.
ML,2,+22320702XXX,VoIPtelephony,Sotelma S.A.
ML,19,+223766XXXXX,mobile,Orange Mali S.A.
ML,12,+223441XXXXX,geographic,Orange Mali S.A.
ML,19,+223767XXXXX,mobile,Orange Mali S.A.
ML,20,+223768XXXXX,mobile,Orange Mali S.A.
ML,6,+2232152XXXX,geographic,Sotelma S.A.
ML,1,+2232023XXXX,geographic,Sotelma S.A.
ML,20,+223769XXXXX,mobile,Orange Mali S.A.
ML,21,+22380001XXX,freephone,Sotelma S.A.
ML,15,2237258,internetserviceprovider,Djom consulting
ML,20,+223781XXXXX,mobile,Orange Mali S.A.
ML,20,+223782XXXXX,mobile,Orange Mali S.A.
ML,20,+223783XXXXX,mobile,Orange Mali S.A.
ML,3,+2232073XXXX,VoIPtelephony,Sotelma S.A.
ML,20,+223784XXXXX,mobile,Orange Mali S.A.
ML,9,+2232177XXXX,VoIPtelephony,Sotelma S.A.
ML,20,+223785XXXXX,mobile,Orange Mali S.A.
ML,20,+223786XXXXX,mobile,Orange Mali S.A.
ML,5,+2232147XXXX,geographic,Sotelma S.A.
ML,8,+22321703XXX,VoIPtelephony,Sotelma S.A.
ML,20,+223787XXXXX,mobile,Orange Mali S.A.
ML,4,+223213XXXXX,geographic,Sotelma S.A.
ML,2,+22320704XXX,VoIPtelephony,Sotelma S.A.
ML,20,+223788XXXXX,mobile,Orange Mali S.A.
ML,4,+2232132XXXX,geographic,Sotelma S.A.
ML,7,+2232163XXXX,geographic,Sotelma S.A.
ML,21,+223789XXXXX,mobile,Orange Mali S.A.
ML,6,+2232153XXXX,geographic,Sotelma S.A.
ML,8,+22321707XXX,VoIPtelephony,Sotelma S.A.
ML,21,+223790XXXXX,mobile,Orange Mali S.A.
ML,10,+2232188XXXX,geographic,Sotelma S.A.
ML,16,2237265,internetserviceprovider,Technolab
ML,7,+2232164XXXX,geographic,Sotelma S.A.
ML,21,+223791XXXXX,mobile,Orange Mali S.A.
ML,21,+223792XXXXX,mobile,Orange Mali S.A.
ML,21,+223793XXXXX,mobile,Orange Mali S.A.
ML,21,+223794XXXXX,mobile,Orange Mali S.A.
ML,11,+2232196XXXX,geographic,Sotelma S.A.
ML,15,2237260,internetserviceprovider,Datatech
ML,12,+223442XXXXX,geographic,Orange Mali S.A.
ML,4,+2232133XXXX,geographic,Sotelma S.A.
ML,22,+22382XXXXXX,mobile,Orange Mali S.A.
ML,22,+22383XXXXXX,mobile,Orange Mali S.A.
ML,22,+22389XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,7,+2232165XXXX,geographic,Sotelma S.A.
ML,22,+22390XXXXXX,mobile,Orange Mali S.A.
ML,22,+22391XXXXXX,mobile,Orange Mali S.A.
ML,6,+2232154XXXX,geographic,Sotelma S.A.
ML,22,+22392XXXXXX,mobile,Orange Mali S.A.
ML,16,2237266,internetserviceprovider,RIB
ML,8,+22321708XXX,VoIPtelephony,Sotelma S.A.
ML,2,+22320705XXX,VoIPtelephony,Sotelma S.A.
ML,22,+22393XXXXXX,mobile,Orange Mali S.A.
ML,15,2237261,internetserviceprovider,Datatech
ML,23,+22394XXXXXX,mobile,Orange Mali S.A.
ML,23,+22395XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,23,+22396XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,23,+22397XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,8,+22321708XXX,VoIPtelephony,Sotelma S.A.
ML,1,+2232024XXXX,geographic,Sotelma S.A.
ML,5,+2232148XXXX,geographic,Sotelma S.A.
ML,23,+22398XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,23,+22399XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,16,2237269,internetserviceprovider,I&D
ML,3,+2232074XXXX,VoIPtelephony,Sotelma S.A.
ML,21,+22380002XXX,freephone,Orange Mali S.A.
ML,2,+22320706XXX,VoIPtelephony,Sotelma S.A.
ML,4,+2232134XXXX,geographic,Sotelma S.A.
ML,11,+2232197XXXX,geographic,Sotelma S.A.
ML,16,2237270,internetserviceprovider,Micro Systeme
ML,9,+2232178XXXX,VoIPtelephony,Sotelma S.A.
ML,7,+2232166XXXX,geographic,Sotelma S.A.
ML,6,+2232155XXXX,geographic,Sotelma S.A.
ML,5,+2232149XXXX,geographic,Sotelma S.A.
ML,3,+2232075XXXX,VoIPtelephony,Sotelma S.A.
ML,4,+2232135XXXX,geographic,Sotelma S.A.
ML,21,+22380011XXX,sharedcost,Sotelma S.A.
ML,6,+2232156XXXX,geographic,Sotelma S.A.
ML,16,2237271,internetserviceprovider,Companet
ML,8,+22321709XXX,VoIPtelephony,Sotelma S.A.
ML,7,+2232167XXXX,geographic,Sotelma S.A.
ML,2,+22320706XXX,VoIPtelephony,Sotelma S.A.
ML,9,+223218XXXXX,geographic,Sotelma S.A.
ML,4,+2232136XXXX,geographic,Sotelma S.A.
ML,7,+2232168XXXX,geographic,Sotelma S.A.
ML,5,+223215XXXXX,geographic,Sotelma S.A.
ML,16,2237272,internetserviceprovider,Aya Technologie
ML,8,+2232171XXXX,VoIPtelephony,Sotelma S.A.
ML,9,+223218XXXXX,geographic,Sotelma S.A.
ML,2,+22320709XXX,VoIPtelephony,Sotelma S.A.
ML,6,+2232157XXXX,geographic,Sotelma S.A.
ML,9,+2232181XXXX,geographic,Sotelma S.A.
ML,16,2237274,internetserviceprovider,Intlec
ML,1,+2232025XXXX,geographic,Sotelma S.A.
ML,4,+2232137XXXX,geographic,Sotelma S.A.
ML,2,+2232071XXXX,VoIPtelephony,Sotelma S.A.
ML,9,+2232181XXXX,geographic,Sotelma S.A.
ML,6,+2232158XXXX,geographic,Sotelma S.A.
ML,8,+2232172XXXX,VoIPtelephony,Sotelma S.A.
ML,1,+2232028XXXX,geographic,Sotelma S.A.
ML,3,+2232076XXXX,VoIPtelephony,Sotelma S.A.
ML,2,+2232072XXXX,VoIPtelephony,Sotelma S.A.
ML,9,+2232182XXXX,geographic,Sotelma S.A.
ML,4,+2232138XXXX,geographic,Sotelma S.A.
ML,7,+2232169XXXX,geographic,Sotelma S.A.
ML,6,+2232159XXXX,geographic,Sotelma S.A.
ML,3,+2232077XXXX,VoIPtelephony,Sotelma S.A.
ML,6,+223216XXXXX,geographic,Sotelma S.A.
ML,4,+2232139XXXX,geographic,Sotelma S.A.
ML,8,+2232173XXXX,VoIPtelephony,Sotelma S.A.
ML,9,+2232182XXXX,geographic,Sotelma S.A.
ML,3,+2232078XXXX,VoIPtelephony,Sotelma S.A.
ML,7,+22321700XXX,VoIPtelephony,Sotelma S.A.
ML,8,+2232174XXXX,VoIPtelephony,Sotelma S.A.
ML,6,+2232162XXXX,geographic,Sotelma S.A.
ML,9,+2232183XXXX,geographic,Sotelma S.A.
ML,3,+2232079XXXX,wirelessgeographic,Sotelma S.A. (CDMA)
ML,8,+2232175XXXX,VoIPtelephony,Sotelma S.A.
ML,7,+22321701XXX,VoIPtelephony,Sotelma S.A.
ML,3,+223209XXXXX,geographic,Orange Mali S.A.
ML,3,+22321XXXXXX,geographic,Sotelma S.A.
ML,7,+22321702XXX,VoIPtelephony,Sotelma S.A.
ML,3,+2232126XXXX,geographic,Sotelma S.A.
