Country,Page,Range,Type,Provider
ML,13,22350XXXXXX,mobile,Atel S.A.
ML,22,22390XXXXXX,mobile,Orange Mali S.A.
ML,22,22389XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,22,22382XXXXXX,mobile,Orange Mali S.A.
ML,22,22383XXXXXX,mobile,Orange Mali S.A.
ML,23,22399XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,22,22391XXXXXX,mobile,Orange Mali S.A.
ML,22,22392XXXXXX,mobile,Orange Mali S.A.
ML,22,22393XXXXXX,mobile,Orange Mali S.A.
ML,23,22394XXXXXX,mobile,Orange Mali S.A.
ML,23,22395XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,23,22396XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,23,22397XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,23,22398XXXXXX,mobile,Sotelma S.A. (Malitel)
ML,14,2237XXXXXXX,mobile,Orange Mali S.A.
ML,13,2236XXXXXXX,mobile,Sotelma S.A. (Malitel)
