Country,Page,Range,Type,Provider
MM,101,958621XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,101,958625XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,100,95852050XXX,geographic,Myanma Posts and Telecommunications
MM,100,958521XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,100,958522XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,17,95170XXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,101,958630XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,17,95171XXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,101,95920XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,101,95921XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,101,95922XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,100,958523XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,101,95923XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,95924XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,959250XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,959251XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,959252XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,11,951571XXX,geographic,Myanma Posts and Telecommunications
MM,100,958528XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,102,959253XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,959254XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,9592557XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,102,9592558XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,14,951621XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,18,9518XXXXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,102,9592559XXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,101,958635XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,15,95164XXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,102,95925XXXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,13,951593XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,103,959256XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,18,95180XXXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,103,959257XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,103,959258XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,100,958528XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,12,951579XXX,geographic,Myanma Posts and Telecommunications
MM,14,951625XX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,103,959259XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,103,959260XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,15,95165XXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,103,959261XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,103,959262XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,103,959263XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,103,959264XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,101,958639XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,103,959265XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,104,95930XXXXXXX,mobile,MECTel
MM,104,95931XXXXXXX,mobile,MECTel
MM,104,95932XXXXXXX,mobile,MECTel
MM,104,95933XXXXXXX,mobile,MECTel
MM,104,959340XXXXXX,mobile,MECTel
MM,13,951599XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,104,959346XXXXXX,mobile,MECTel
MM,17,951684XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,104,959349XXXXXX,mobile,MECTel
MM,104,95936XXXXXXX,mobile,MECTel
MM,18,95181XXXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,12,951580XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,16,951664XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,104,959400XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,24,95236XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,104,959401XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,100,958529XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,14,951626XX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,105,959402XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,11,951572XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,105,959403XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,13,951600XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,17,9516850XX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,105,959404XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,105,959420XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,105,959421XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,10,951555XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,105,959422XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,105,959423XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,18,95182XXXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,105,959424XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,24,95237XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,15,951650XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,105,959425XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,105,959426XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,23,9522832XXX,geographic,Myanma Posts and Telecommunications
MM,14,951626XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,16,951665XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,106,959427XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,19,95184XXXXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,12,951581XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,106,959428XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,106,959429XXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,11,951572XXX,geographic,Myanma Posts and Telecommunications
MM,13,951601XXX,geographic,Myanmar Posts and Telecommunications (MPT)
MM,106,95943XXXXXXX,mobile,Myanmar Posts and Telecommunications (MPT)
MM,100,958540XXX,geographic,Myanmar Posts and Telecommunications (MPT)
