Country,Page,Range,Type,Provider
MN,100,976705267XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705268XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,976705277XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705269XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,976705278XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,976705279XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705270XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,97670531XXX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705271XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,97670532XXX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,97670533XXX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,102,976705355XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705272XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,976705351XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,107,976705669XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,102,976705356XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705273XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,106,976705662XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,101,976705352XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705274XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,102,97670536XXX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,107,976705670XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,106,976705663XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,105,976705655XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,100,976705275XX,VoIPtelephony,Mongolia Telecom Company (MTC)
MN,104,97670562XXX,VoIPtelephony,Mongolia Telecom Company (MTC)
