Country,Page,Range,Type,Provider
MN,117,976830XXXXX,mobile,G-Mobile LLC
MN,117,976831XXXXX,mobile,G-Mobile LLC
MN,117,97688XXXXXX,mobile,Unitel Co. Ltd
MN,117,97689XXXXXX,mobile,Unitel Co. Ltd
MN,117,97686XXXXXX,mobile,Unitel Co. Ltd
MN,117,97685XXXXXX,mobile,Mobcom Co. Ltd
MN,117,97680XXXXXX,mobile,Unitel Co. Ltd
MN,118,97699XXXXXX,mobile,Mobcom Co. Ltd
MN,118,97698XXXXXX,mobile,G-Mobile LLC
MN,118,97695XXXXXX,mobile,Mobcom Co. Ltd
MN,118,97694XXXXXX,mobile,Mobcom Co. Ltd
MN,118,97697XXXXXX,mobile,G-Mobile LLC
MN,118,97696XXXXXX,mobile,Skytel Co. Ltd
MN,117,97691XXXXXX,mobile,Skytel Co. Ltd
MN,117,97690XXXXXX,mobile,Skytel Co. Ltd
MN,118,97693XXXXXX,mobile,G-Mobile LLC
