Country,Page,Range,Type,Provider
MO,3,+853849XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+85366XXXXXX,mobile,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+85385XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+853850XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+8538597XXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+8536006XXXXXX,pager,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+8538598XXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+8536XXXXXXX,mobile,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+8538599XXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+85387XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,85366001234,voicemail(mobile),Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+853879XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+8538XXXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,853,proper,
MO,1,+8532XXXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,4,+8538864XXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+85382XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+85388XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853282XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,4,+853889XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,3,+8538863XXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853283XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,4,+853889XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853284XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,4,+85389XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+853829XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853285XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+85383XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853287XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,4,+8538900XXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853288XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+853839XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,4,+853901XXXX(XX),voicemail(geographic),Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,2,+85384XXXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+85328895XXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
MO,1,+853289XXXXX,geographic,Companhia de Telecomunicações de Macau#comma S.A.R.L.
