Country,Page,Range,Type,Provider
MP,2,1670287XXXX,geographic,Pti Pacifica Inc.
MP,2,1670288XXXX,geographic,Micronesian Telecommunications Corp.
MP,2,1670321XXXX,geographic,Micronesian Telecommunications Corp.
MP,2,1670322XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670532XXXX,geographic,Micronesian Telecommunications Corp.
MP,2,1670323XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670555XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670588XXXX,pager,Guam Cell & Paging Dba Saipan Cellular & Paging
MP,2,1670328XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670838XXXX,mobile,Wave Runner#comma LLC
MP,2,1670433XXXX,geographic,Micronesian Telecommunications Corp.
MP,1,1,proper,
MP,1,1670XXXXXXX,geographic,
MP,2,1670483XXXX,pager,Guam Cell & Paging Dba Saipan Cellular & Paging
MP,3,1670848XXXX,mobile,Wave Runner#comma LLC
MP,1,1670233XXXX,geographic,Micronesian Telecommunications Corp.
MP,2,1670484XXXX,pager,Guam Cell & Paging Dba Saipan Cellular & Paging
MP,1,1670234XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670664XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670858XXXX,mobile,Wave Runner#comma LLC
MP,4,1670868XXXX,mobile,Choice Phone LLC Dba Iconn
MP,4,1670878XXXX,mobile,Choice Phone LLC Dba Iconn
MP,4,1670888XXXX,mobile,Choice Phone LLC Dba Iconn
MP,2,1670488XXXX,pager,Guam Cell & Paging Dba Saipan Cellular & Paging
MP,3,1670682XXXX,geographic,Micronesian Telecommunications Corp.
MP,1,1670235XXXX,geographic,Micronesian Telecommunications Corp.
MP,4,1670898XXXX,mobile,Choice Phone LLC Dba Iconn
MP,3,1670788XXXX,geographic,Pti Pacifica Inc.
MP,1,1670236XXXX,geographic,Micronesian Telecommunications Corp.
MP,1,1670237XXXX,geographic,Micronesian Telecommunications Corp.
MP,3,1670789XXXX,geographic,Pti Pacifica Inc.
MP,1,1670256XXXX,geographic,Micronesian Telecommunications Corp.
MP,4,1670989XXXX,pager,Guam Cell & Paging Dba Saipan Cellular & Paging
MP,1,1670285XXXX,geographic,Pti Pacifica Inc.
MP,1,1670286XXXX,geographic,Pti Pacifica Inc.
