Country,Page,Range,Type,Provider
MQ,16,59669727XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669696XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669695XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669698XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669697XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669699XXXX,mobile,Orange Caraïbe
MQ,15,59669690XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669692XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,15,59669691XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669694XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,16,59669693XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,12,59669652XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,12,59669651XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,13,59669654XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,12,59669653XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,13,59669656XXXX,mobile,Orange Caraïbe
MQ,13,59669655XXXX,mobile,Orange Caraïbe
MQ,12,59669650XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,13,59669663XXXX,mobile,Outremer Telecom
MQ,13,59669662XXXX,mobile,Outremer Telecom
MQ,13,59669664XXXX,mobile,Outremer Telecom
MQ,13,59669661XXXX,mobile,Outremer Telecom
MQ,13,59669660XXXX,mobile,Outremer Telecom
MQ,14,59669674XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669673XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669676XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669675XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669678XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669677XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669679XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,13,59669670XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,14,59669672XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,13,59669671XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,15,59669685XXXX,mobile,Orange Caraïbe
MQ,15,59669684XXXX,mobile,Orange Caraïbe
MQ,15,59669687XXXX,mobile,Outremer Telecom
MQ,15,59669686XXXX,mobile,Orange Caraïbe
MQ,15,59669689XXXX,mobile,Outremer Telecom
MQ,15,59669688XXXX,mobile,Outremer Telecom
MQ,14,59669681XXXX,mobile,Orange Caraïbe
MQ,14,59669680XXXX,mobile,Orange Caraïbe
MQ,15,59669683XXXX,mobile,Orange Caraïbe
MQ,15,59669682XXXX,mobile,Orange Caraïbe
MQ,9,59669616XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,9,59669615XXXX,mobile,MARTINIQUE TELEPHONE MOBILE
MQ,9,59669618XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,9,59669617XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,9,59669619XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,8,59669610XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,8,59669612XXXX,mobile,MARTINIQUE TELEPHONE MOBILE
MQ,8,59669611XXXX,mobile,Digicel Antilles Françaises Guyane
MQ,9,59669614XXXX,mobile,MARTINIQUE TELEPHONE MOBILE
MQ,8,59669613XXXX,mobile,MARTINIQUE TELEPHONE MOBILE
MQ,10,59669627XXXX,mobile,Orange Caraïbe
MQ,10,59669626XXXX,mobile,Orange Caraïbe
MQ,10,59669629XXXX,mobile,Orange Caraïbe
MQ,10,59669628XXXX,mobile,Orange Caraïbe
MQ,9,59669621XXXX,mobile,Orange Caraïbe
MQ,9,59669620XXXX,mobile,Orange Caraïbe
MQ,9,59669623XXXX,mobile,Orange Caraïbe
MQ,9,59669622XXXX,mobile,Orange Caraïbe
MQ,10,59669625XXXX,mobile,Orange Caraïbe
MQ,10,59669624XXXX,mobile,Orange Caraïbe
MQ,11,59669638XXXX,mobile,Orange Caraïbe
MQ,11,59669637XXXX,mobile,Orange Caraïbe
MQ,11,59669639XXXX,mobile,Orange Caraïbe
MQ,10,59669630XXXX,mobile,Orange Caraïbe
MQ,10,59669632XXXX,mobile,Orange Caraïbe
MQ,10,59669631XXXX,mobile,Orange Caraïbe
MQ,11,59669634XXXX,mobile,Orange Caraïbe
MQ,10,59669633XXXX,mobile,Orange Caraïbe
MQ,11,59669636XXXX,mobile,Orange Caraïbe
