Country,Page,Range,Type,Provider
MR,1,222,proper,
MR,3,+2224513XXXX,geographic,Mauritel
MR,4,+2224563XXXX,geographic,Mauritel
MR,1,+22225XXXXXX,geographic,Chinguitel
MR,3,+2224515XXXX,geographic,Mauritel
MR,4,+22245632XXX,geographic,Mauritel
MR,1,+222250XXXXX,geographic,Chinguitel
MR,3,+2224525XXXX,geographic,Mauritel
MR,4,+2224569XXXX,geographic,Mauritel
MR,4,+2224569XXXX,geographic,Mauritel
MR,1,+222258XXXXX,geographic,Chinguitel
MR,4,+2224574XXXX,geographic,Mauritel
MR,3,+2224529XXXX,geographic,Mauritel
MR,5,+22245746XXX,geographic,Mauritel
MR,4,+22245740XXX,geographic,Mauritel
MR,4,+22245741XXX,geographic,Mauritel
MR,1,+22222XXXXXX,mobile,Chinguitel
MR,1,+222270XXXXX,mobile,Chinguitel
MR,1,+2222XXXXXXX,mobile,Chinguitel
MR,1,+22233XXXXXX,mobile,Mattel
MR,1,+2223XXXXXXX,mobile,Mattel
MR,2,+222361XXXXX,mobile,Mattel
MR,4,+22245742XXX,geographic,Mauritel
MR,3,+2224533XXXX,geographic,Mauritel
MR,2,+222362XXXXX,mobile,Mattel
MR,5,+22245749XXX,geographic,Mauritel
MR,2,+222363XXXXX,mobile,Mattel
MR,2,+222366XXXXX,mobile,Mattel
MR,2,+222371XXXXX,mobile,Mattel
MR,4,+22245743XXX,geographic,Mauritel
MR,1,+22235XXXXXX,geographic,Mattel
MR,2,+222372XXXXX,mobile,Mattel
MR,2,+222373XXXXX,mobile,Mattel
MR,2,+2224XXXXXXX,mobile,Mauritel
MR,5,+222460XXXXX,mobile,Mauritel
MR,5,+222464XXXXX,mobile,Mauritel
MR,5,+2224576XXXX,geographic,Mauritel
MR,3,+2224534XXXX,geographic,Mauritel
MR,5,+222465XXXXX,mobile,Mauritel
MR,5,+222467XXXXX,mobile,Mauritel
MR,5,+222468XXXXX,mobile,Mauritel
MR,6,+222469XXXXX,mobile,Mauritel
MR,4,+22245745XXX,geographic,Mauritel
MR,6,+222474XXXXX,mobile,Mauritel
MR,3,+2224537XXXX,geographic,Mauritel
MR,6,+222475XXXXX,mobile,Mauritel
MR,6,+2225975XXX,wirelessgeographic,Land / maritime network
MR,6,+222476XXXXX,mobile,Mauritel
MR,5,+22245761XXX,geographic,Mauritel
MR,6,+222477XXXXX,mobile,Mauritel
MR,6,+222478XXXXX,mobile,Mauritel
MR,5,+22245764XXX,geographic,Mauritel
MR,6,+222598XXXX,wirelessgeographic,Land / maritime network
MR,6,+222479XXXXX,mobile,Mauritel
MR,3,+2224544XXXX,geographic,Mauritel
MR,6,+2228000XXXX,freephone,
MR,3,+2224546XXXX,geographic,Mauritel
MR,3,+2224550XXXX,geographic,Mauritel
MR,2,+22245XXXXXX,geographic,Mauritel
MR,2,+22245XXXXXX,geographic,Mauritel
