Country,Page,Range,Type,Provider
MT,5,3569210XXXX,mobile,Vodafone Malta
MT,5,3569211XXXX,mobile,Vodafone Malta
MT,5,3569231XXXX,mobile,Vodafone Malta
MT,6,3569897XXXX,mobile,Vodafone Malta
MT,5,3569697XXXX,mobile,YOM
MT,5,3569696XXXX,mobile,YOM
MT,5,3569811XXXX,mobile,Redtouch Fone
MT,5,3569812XXXX,mobile,Redtouch Fone
MT,5,3569813XXXX,mobile,Redtouch Fone
MT,6,3569889XXXX,mobile,GO Mobile
MT,3,3567210XXXX,mobile,GO Mobile
MT,6,35699XXXXXX,mobile,Vodafone Malta
MT,4,35679XXXXXX,mobile,GO Mobile
MT,4,35677XXXXXX,mobile,Melita Mobile
