Country,Page,Range,Type,Provider
MU,12,2302648XXX,geographic,Mauritius Telecom (MT)
MU,12,2302649XXX,geographic,Mauritius Telecom (MT)
MU,11,230262XXXX,geographic,
MU,12,230265XXXX,geographic,
MU,11,2302625XXX,geographic,Mauritius Telecom (MT)
MU,10,2302471XXX,geographic,Mauritius Telecom (MT)
MU,19,230319XXXX,premiumrate,
MU,10,2302472XXX,geographic,Mauritius Telecom (MT)
MU,12,2302655XXX,geographic,Mauritius Telecom (MT)
MU,20,230398XXXX,universalaccess,
MU,1,230,proper,
MU,14,230271XXXX,geographic,
MU,13,2302665XXX,geographic,Mauritius Telecom (MT)
MU,19,230320XXXX,VoIPtelephony,
MU,10,2302473XXX,geographic,Mauritius Telecom (MT)
MU,1,230201XXXX,geographic,
MU,11,2302626XXX,geographic,Mauritius Telecom (MT)
MU,20,230401XXXX,geographic,
MU,19,23039XXXXX,universalaccess,
MU,10,2302474XXX,geographic,Mauritius Telecom (MT)
MU,13,2302666XXX,geographic,Mauritius Telecom (MT)
MU,1,2302011XXX,geographic,Mauritius Telecom (MT)
MU,15,230283XXXX,geographic,
MU,19,2303901XXX,universalaccess,
MU,18,2303036XXX,audiotext,
MU,11,2302627XXX,geographic,Mauritius Telecom (MT)
MU,17,2302889XXX,geographic,Mauritius Telecom (MT)
MU,1,2302012XXX,geographic,Mauritius Telecom (MT)
MU,13,2302667XXX,geographic,Mauritius Telecom (MT)
MU,12,2302656XXX,geographic,Mauritius Telecom (MT)
MU,15,2302831XXX,geographic,Mauritius Telecom (MT)
MU,20,230401XXXX,geographic,
MU,14,230271XXXX,geographic,
MU,11,2302628XXX,geographic,Mauritius Telecom (MT)
MU,22,2304031XXX,geographic,Mauritius Telecom (MT)
MU,18,2303039XXX,audiotext,
MU,10,2302475XXX,geographic,Mauritius Telecom (MT)
MU,1,2302013XXX,geographic,Mauritius Telecom (MT)
MU,17,230289XXXX,geographic,Mauritius Telecom (MT)
MU,19,230391XXXX,universalaccess,
MU,13,2302668XXX,geographic,Mauritius Telecom (MT)
MU,22,2304032XXX,geographic,Mauritius Telecom (MT)
MU,17,23030XXXXX,premiumrate,
MU,20,2304011XXX,geographic,Mauritius Telecom (MT)
MU,23,230413XXXX,geographic,
MU,15,2302832XXX,geographic,Mauritius Telecom (MT)
MU,11,230263XXXX,geographic,
MU,1,2302014XXX,geographic,Mauritius Telecom (MT)
MU,14,230271XXXX,geographic,
MU,22,2304036XXX,geographic,Mauritius Telecom (MT)
MU,11,230264XXXX,geographic,
MU,15,2302833XXX,geographic,Mauritius Telecom (MT)
MU,1,2302019XXX,geographic,Mauritius Telecom (MT)
MU,26,230431XXXX,geographic,
MU,12,2302657XXX,geographic,Mauritius Telecom (MT)
MU,10,230248XXXX,geographic,
MU,18,230312XXXX,internetserviceprovider,
MU,19,230392XXXX,universalaccess,
MU,23,230414XXXX,geographic,
MU,22,2304038XXX,geographic,Mauritius Telecom (MT)
MU,14,2302711XXX,geographic,Mauritius Telecom (MT)
MU,17,2303011XXX,audiotext,
MU,13,2302669XXX,geographic,Mauritius Telecom (MT)
MU,10,230249XXXX,geographic,
MU,11,2302641XXX,geographic,Mauritius Telecom (MT)
MU,1,230202XXXX,geographic,
MU,19,230393XXXX,universalaccess,
MU,12,2302658XXX,geographic,Mauritius Telecom (MT)
MU,23,2304145XXX,geographic,Mauritius Telecom (MT)
MU,29,230480XXXX,geographic,
MU,22,230410XXXX,geographic,
MU,18,2303120909,internetserviceprovider,
MU,20,2304012XXX,geographic,Mauritius Telecom (MT)
MU,17,2303016XXX,audiotext,
MU,16,230286XXXX,geographic,
