Country,Page,Range,Type,Provider
MU,31,2305472XXXX,mobile,Emtel Ltd
MU,31,2305473XXXX,mobile,Emtel Ltd
MU,31,2305478XXXX,mobile,Emtel Ltd
MU,31,2305479XXXX,mobile,Emtel Ltd
MU,31,2305476XXXX,mobile,Emtel Ltd
MU,31,2305477XXXX,mobile,Emtel Ltd
MU,31,2305474XXXX,mobile,Emtel Ltd
MU,31,2305475XXXX,mobile,Emtel Ltd
MU,30,2305429XXXX,mobile,Emtel Ltd
MU,30,2305428XXXX,mobile,Emtel Ltd
MU,30,2305423XXXX,mobile,Emtel Ltd
MU,30,2305421XXXX,mobile,Emtel Ltd
MU,30,2305422XXXX,mobile,Emtel Ltd
MU,31,230549XXXXX,mobile,Emtel Ltd
MU,31,230548XXXXX,mobile,Emtel Ltd
MU,30,230528XXXXX,mobile,Mahanagar Telephone Mauritius Ltd (MTML)
MU,30,230525XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,30,230529XXXXX,mobile,Mahanagar Telephone Mauritius Ltd (MTML)
MU,35,230593XXXXX,mobile,Emtel Ltd
MU,35,230591XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,35,230590XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,35,230597XXXXX,mobile,Emtel Ltd
MU,35,230595XXXXX,mobile,Mahanagar Telephone Mauritius Ltd (MTML)
MU,35,230594XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,35,230598XXXXX,mobile,Emtel Ltd
MU,34,230582XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230581XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230580XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,34,230586XXXXX,mobile,Mahanagar Telephone Mauritius Ltd (MTML)
MU,34,230585XXXXX,mobile,Emtel Ltd
MU,34,230584XXXXX,mobile,Emtel Ltd
MU,34,230583XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,35,230589XXXXX,mobile,Mahanagar Telephone Mauritius Ltd (MTML)
MU,35,230588XXXXX,mobile,Mahanagar Telephone Mauritius Ltd (MTML)
MU,34,230587XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,32,230571XXXXX,mobile,Emtel Ltd
MU,32,230570XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230575XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230574XXXXX,mobile,Emtel Ltd
MU,33,230573XXXXX,mobile,Emtel Ltd
MU,33,230572XXXXX,mobile,Emtel Ltd
MU,33,230579XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230578XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230577XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
MU,33,230576XXXXX,mobile,Cellplus Mobile Communications Ltd (Orange)
