Country,Page,Range,Type,Provider
MV,3,960672XXXX,geographic,
MV,3,960674XXXX,geographic,
MV,3,960676XXXX,geographic,
MV,2,960652XXXX,geographic,
MV,3,960678XXXX,geographic,
MV,1,960,proper,
MV,2,960654XXXX,geographic,
MV,3,960680XXXX,geographic,
MV,1,960301XXXX,geographic,
MV,2,960656XXXX,geographic,
MV,3,960682XXXX,geographic,
MV,2,960658XXXX,geographic,
MV,2,960660XXXX,geographic,
MV,3,960684XXXX,geographic,
MV,1,960330XXXX,geographic,
MV,2,960662XXXX,geographic,
MV,2,960664XXXX,geographic,
MV,3,960686XXXX,geographic,
MV,2,960666XXXX,geographic,
MV,3,960688XXXX,geographic,
MV,5,960900XXXXXXX,premiumrate,
MV,3,960689XXXX,geographic,
MV,2,960668XXXX,geographic,
MV,1,960331XXXX,geographic,
MV,4,96073XXXXX,mobile,Dhiraagu
MV,1,960332XXXX,geographic,
MV,4,96076XXXXX,mobile,Dhiraagu
MV,4,96077XXXXX,mobile,Dhiraagu
MV,2,960670XXXX,geographic,
MV,4,96078XXXXX,mobile,Dhiraagu
MV,4,96079XXXXX,mobile,Dhiraagu
MV,1,960333XXXX,geographic,
MV,4,9607XXXXXX,mobile,Dhiraagu
MV,1,960334XXXX,geographic,
MV,4,960690XXXX,geographic,
MV,4,9609XXXXXX,mobile,Wmobile (Wataniya Telecom)
MV,5,96096XXXXX,mobile,Wmobile (Wataniya Telecom)
MV,1,960335XXXX,geographic,
MV,5,96097XXXXX,mobile,Wmobile (Wataniya Telecom)
MV,5,96098XXXXX,mobile,Wmobile (Wataniya Telecom)
MV,5,96099XXXXX,mobile,Wmobile (Wataniya Telecom)
MV,1,960339XXXX,geographic,
MV,1,960650XXXX,geographic,
MV,4,960781XXXX,pager,Dhiraagu
MV,4,960800XXXXXXX,freephone,
