Country,Page,Range,Type,Provider
MW,2,+2651486XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,265,proper,
MW,1,+26512XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651534XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651535XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+26515XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+2651223XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651701XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,9,2651820,internetserviceprovider,CelTel
MW,7,+2651771XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+2651262XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651725XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+2651792XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651707XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651537XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+265150XXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651710XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+2651793XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651772XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651524XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651539XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,9,+26519XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651511XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651726XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+2651263XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651525XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+26513XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651773XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651542XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651526XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+2651794XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,9,+26521XXXXXXX,geographic,Access Communications Ltd (ACL)
MW,4,+2651549XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+2651465XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,9,+26531XXXXXXX,VoIPtelephony,Telekom Networks Malawi Plc (TNM)
MW,7,+2651774XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,9,+26577XXXXXXX,mobile,Globally Advanced Integrated Networks Ltd
MW,9,+2658888XXXXX,mobile,Telekom Networks Malawi Plc (TNM)
MW,3,+2651527XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+26516XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651711XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651512XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,9,+26588XXXXXXX,mobile,Telekom Networks Malawi Plc (TNM)
MW,9,+2659999XXXXX,mobile,Zain Malawi Ltd
MW,9,+26599XXXXXXX,mobile,Zain Malawi Ltd
MW,1,+2651467XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651727XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651712XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651513XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+2651795XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651775XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651664XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651514XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+265175XXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651528XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+2651474XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651776XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+26517XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+265176XXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651713XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,1,+2651477XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651515XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+2651796XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651788XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,4,+2651700XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651529XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651518XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651761XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651789XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+2651797XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651714XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651762XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651530XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651790XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,+26518XXXXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,2651800,internetserviceprovider,Globe Internet
MW,5,+2651715XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651766XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,3,+2651531XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,2,+2651519XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,7,+2651791XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651716XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,5,+2651724XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,6,+2651767XXX,geographic,Malawi Telecommunications Ltd (MTL)
MW,8,2651811,internetserviceprovider,Malawi Net
MW,8,2651818,internetserviceprovider,Web & Internet Systems Solutions (WISS)
MW,6,+2651770XXX,geographic,Malawi Telecommunications Ltd (MTL)
