Country,Page,Range,Type,Provider
MY,102,+608838XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,101,+6087831XXX,geographic,TM (Telekom Malaysia) Bhd
MY,102,+608842XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,101,+6087861XXX,geographic,TM (Telekom Malaysia) Bhd
MY,104,+608888XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,102,+608843XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,102,+6088456XXX,geographic,TM (Telekom Malaysia) Bhd
MY,101,+6087871XXX,geographic,TM (Telekom Malaysia) Bhd
MY,104,+608891XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,107,+609208XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,104,+608897XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,105,+608956XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,103,+608875XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,102,+608849XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,109,+609255XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,101,+608788XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,100,+608742XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,107,+60921XXXXX,geographic,TM (Telekom Malaysia) Bhd
MY,105,+608961XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,106,+608978XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,103,+608876XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,104,+6088981XXX,geographic,TM (Telekom Malaysia) Bhd
MY,102,+608861XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,100,+608743XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,105,+608963XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,106,+608981XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,104,+6089XXXXXX,geographic,
MY,103,+608877XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,108,+609243XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,100,+608744XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,107,+609213XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,110,+609298XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,105,+608966XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,108,+609244XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,101,+608788XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,104,+60892XXXXX,geographic,TM (Telekom Malaysia) Bhd
MY,103,+6088782XXX,geographic,TM (Telekom Malaysia) Bhd
MY,102,+608862XXXX,geographic,TM (Telekom Malaysia) Bhd
MY,109,+609266XXXX,geographic,TM (Telekom Malaysia) Bhd
