Country,Page,Range,Type,Provider
NA,100,264652532XX,geographic,Telecom Namibia Ltd
NA,100,264652535XX,geographic,Telecom Namibia Ltd
NA,107,264652683XX,geographic,Telecom Namibia Ltd
NA,105,264652647XX,geographic,Telecom Namibia Ltd
NA,107,264652684XX,geographic,Telecom Namibia Ltd
NA,100,264652536XX,geographic,Telecom Namibia Ltd
NA,107,264652688XX,geographic,Telecom Namibia Ltd
NA,105,264652648XX,geographic,Telecom Namibia Ltd
NA,109,264652728XX,geographic,Telecom Namibia Ltd
NA,105,264652649XX,geographic,Telecom Namibia Ltd
NA,107,264652689XX,geographic,Telecom Namibia Ltd
NA,100,264652537XX,geographic,Telecom Namibia Ltd
NA,109,264652729XX,geographic,Telecom Namibia Ltd
NA,103,264652622XX,geographic,Telecom Namibia Ltd
NA,107,264652690XX,geographic,Telecom Namibia Ltd
NA,100,264652545XX,geographic,Telecom Namibia Ltd
NA,105,264652650XX,geographic,Telecom Namibia Ltd
NA,118,264661727XX,geographic,Telecom Namibia Ltd
NA,117,264661718XX,payphone,Telecom Namibia Ltd
NA,100,264652546XX,geographic,Telecom Namibia Ltd
NA,109,26465273XXX,geographic,Telecom Namibia Ltd
NA,107,264652691XX,geographic,Telecom Namibia Ltd
NA,106,264652663XX,geographic,Telecom Namibia Ltd
NA,115,264657165XX,geographic,Telecom Namibia Ltd
NA,103,264652623XX,geographic,Telecom Namibia Ltd
NA,101,264652566XX,geographic,Telecom Namibia Ltd
NA,110,264652738XX,geographic,Telecom Namibia Ltd
NA,102,264652589XX,geographic,Telecom Namibia Ltd
NA,118,264661728XX,payphone,Telecom Namibia Ltd
NA,107,264652692XX,geographic,Telecom Namibia Ltd
NA,100,264652547XX,geographic,Telecom Namibia Ltd
NA,105,264652651XX,geographic,Telecom Namibia Ltd
NA,102,264652590XX,geographic,Telecom Namibia Ltd
NA,117,264661718XX,payphone,Telecom Namibia Ltd
NA,109,264652730XX,geographic,Telecom Namibia Ltd
NA,110,264652739XX,geographic,Telecom Namibia Ltd
NA,115,26466XXXX(XX),geographic,
NA,101,264652567XX,geographic,Telecom Namibia Ltd
NA,100,264652560XX,geographic,Telecom Namibia Ltd
NA,106,264652664XX,geographic,Telecom Namibia Ltd
NA,103,264652624XX,geographic,Telecom Namibia Ltd
NA,109,264652731XX,geographic,Telecom Namibia Ltd
NA,118,264662500XX,geographic,Telecom Namibia Ltd
NA,102,264652591XX,geographic,Telecom Namibia Ltd
NA,105,264652652XX,geographic,Telecom Namibia Ltd
NA,113,264652870XX,geographic,Telecom Namibia Ltd
NA,121,264662587XX,geographic,Telecom Namibia Ltd
NA,103,264652625XX,geographic,Telecom Namibia Ltd
NA,117,264661719XX,payphone,Telecom Namibia Ltd
NA,106,264652665XX,geographic,Telecom Namibia Ltd
NA,115,26466XXXXXX,geographic,
NA,101,264652570XX,geographic,Telecom Namibia Ltd
NA,107,264652700XX,geographic,Telecom Namibia Ltd
NA,102,264652595XX,geographic,Telecom Namibia Ltd
NA,100,264652562XX,geographic,Telecom Namibia Ltd
NA,110,264652740XX,geographic,Telecom Namibia Ltd
NA,118,264662500XX,geographic,Telecom Namibia Ltd
NA,117,264661720XX,payphone,Telecom Namibia Ltd
NA,105,264652653XX,geographic,Telecom Namibia Ltd
NA,109,264652732XX,geographic,Telecom Namibia Ltd
NA,125,264667030XX,geographic,Telecom Namibia Ltd
NA,103,264652628XX,geographic,Telecom Namibia Ltd
NA,113,264652880XX,geographic,Telecom Namibia Ltd
NA,115,264661701XX,payphone,Telecom Namibia Ltd
NA,114,264652896XX,geographic,Telecom Namibia Ltd
NA,121,264662588XX,geographic,Telecom Namibia Ltd
NA,102,264652596XX,geographic,Telecom Namibia Ltd
NA,104,264652634XX,geographic,Telecom Namibia Ltd
NA,110,264652741XX,geographic,Telecom Namibia Ltd
NA,109,264652733XX,geographic,Telecom Namibia Ltd
NA,113,264652882XX,geographic,Telecom Namibia Ltd
NA,101,264652571XX,geographic,Telecom Namibia Ltd
NA,115,264661702XX,payphone,Telecom Namibia Ltd
NA,106,264652666XX,geographic,Telecom Namibia Ltd
NA,100,264652565XX,geographic,Telecom Namibia Ltd
NA,112,264652766XX,geographic,Telecom Namibia Ltd
NA,104,264652635XX,geographic,Telecom Namibia Ltd
NA,119,26466251XXX,geographic,Telecom Namibia Ltd
NA,105,264652654XX,geographic,Telecom Namibia Ltd
NA,103,264652629XX,geographic,Telecom Namibia Ltd
NA,118,264662501XX,geographic,Telecom Namibia Ltd
NA,114,26465290XXX,geographic,Telecom Namibia Ltd
NA,110,264652741XX,geographic,Telecom Namibia Ltd
NA,120,264662574XX,geographic,Telecom Namibia Ltd
NA,111,264652747XX,geographic,Telecom Namibia Ltd
NA,107,264652701XX,geographic,Telecom Namibia Ltd
NA,125,264667143XX,geographic,Telecom Namibia Ltd
NA,116,264661708XX,payphone,Telecom Namibia Ltd
NA,109,264652734XX,geographic,Telecom Namibia Ltd
NA,121,264662589XX,geographic,Telecom Namibia Ltd
NA,115,264661703XX,payphone,Telecom Namibia Ltd
NA,112,26465280XXX,geographic,Telecom Namibia Ltd
NA,104,264652636XX,geographic,Telecom Namibia Ltd
NA,120,264662575XX,geographic,Telecom Namibia Ltd
NA,117,264661721XX,payphone,Telecom Namibia Ltd
NA,111,264652748XX,geographic,Telecom Namibia Ltd
NA,123,264662674XX,geographic,Telecom Namibia Ltd
NA,114,26465695XXX,satellite,Telecom Namibia Ltd (VSAT)
