Country,Page,Range,Type,Provider
NC,10,68746XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,3,68735XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,10,68746XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,3,68735XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,10,68746XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,1,687,proper,
NC,10,68746XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,3,68736XXXX,audiotext,
NC,7,68743XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,1,68720XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,1,68723XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,12,68750XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,12,68751XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,12,68752XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,12,68753XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,12,68754XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,12,68766XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,7,68743XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,1,68724XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,12,68770XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,9,68745XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,12,68771XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,2,68735XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,12,68772XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,13,68773XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,7,68743XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,10,68747XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,13,68774XXXX,mobile,Office des Postes et Télécommunications de Nouvelle-Calédonie (Mobilis)
NC,1,68725XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,5,68742XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,3,68741XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,8,68744XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,9,68746XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
NC,4,68741XXXX,geographic,Office des Postes et Télécommunications de Nouvelle-Calédonie (OPT-NC)
