Country,Page,Range,Type,Provider
NG,14,23483XXXXXX,geographic,
NG,14,23484XXXXXX,geographic,
NG,14,23485XXXXXX,geographic,
NG,11,23473XXXXXX(X),geographic,
NG,14,23486XXXXXX,geographic,
NG,11,23475XXXXXX,geographic,
NG,8,234700XXXXXXX,mobile,Alpha Technologies Ltd
NG,11,23476XXXXXX,geographic,
NG,8,234701XXXXXXX,mobile,Bharti Airtel Ltd (Celtel)
NG,8,2347020XXXXXX,mobile,Smile
NG,14,23487XXXXXX,geographic,
NG,8,2347021XXXXXX,mobile,Nigerian Mobile Telecommunications Ltd (M-Tel)
NG,8,2347022XXXXXX,mobile,Nigerian Mobile Telecommunications Ltd (M-Tel)
NG,10,23471XXXXXX(X),geographic,
NG,8,2347023XXXXXX,mobile,ZOOM
NG,8,2347024XXXXXX,mobile,Prestel Cable and TV System Ltd
NG,14,23488XXXXXX,geographic,
NG,1,234,proper,
NG,9,2347025XXXXXX,mobile,Visafone Communications Ltd
NG,9,2347026XXXXXX,mobile,Visafone Communications Ltd
NG,9,2347027XXXXXX,mobile,Capcom Ltd (Multilinks)
NG,10,23472XXXXXX(X),geographic,
NG,3,2341793XXXX(X),wirelessgeographic,Capcom Ltd
NG,1,2341XXXXXXX(X),geographic,
NG,9,2347028XXXXXX,mobile,Capcom Ltd (Starcomms)
NG,9,2347029XXXXXX,mobile,Capcom Ltd (Starcomms)
NG,2,2341220XXXX(X),wirelessgeographic,Capcom Ltd
NG,14,23489XXXXXX,geographic,
NG,9,234703XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,9,2347040XXXXXX,mobile,Visafone Communications Ltd
NG,1,2341212XXXX(X),wirelessgeographic,Capcom Ltd
NG,9,2347041XXXXXX,mobile,Visafone Communications Ltd
NG,4,23433XXXXXX,geographic,
NG,2,2341221XXXX(X),wirelessgeographic,Capcom Ltd
NG,9,2347042XXXXXX,mobile,Visafone Communications Ltd
NG,9,2347043XXXXXX,mobile,Visafone Communications Ltd
NG,8,23468XXXXXX(X),geographic,
NG,2,234176XXXXX(X),wirelessgeographic,Capcom Ltd
NG,11,23477XXXXXX(X),geographic,
NG,10,2347044XXXXXX,mobile,Visafone Communications Ltd
NG,10,2347045XXXXXX,mobile,Visafone Communications Ltd
NG,10,2347046XXXXXX,mobile,Visafone Communications Ltd
NG,14,2349XXXXXXX,geographic,
NG,3,2341794XXXX(X),wirelessgeographic,Capcom Ltd
NG,10,234705XXXXXXX,mobile,Globacom Ltd (Glo)
NG,10,234706XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,1,2341213XXXX(X),wirelessgeographic,Capcom Ltd
NG,6,23447XXXXXX(X),geographic,
NG,10,234707XXXXXXX,mobile,Reliance Telecommunications Ltd
NG,8,23469XXXXXX,geographic,
NG,2,2341773XXXX(X),wirelessgeographic,Capcom Ltd
NG,7,23458XXXXXX,geographic,
NG,11,23478XXXXXX,geographic,
NG,10,234708XXXXXXX,mobile,Bharti Airtel Ltd (Celtel)
NG,3,2342XXXXXXX(X),geographic,
NG,10,234709XXXXXXX,mobile,Capcom Ltd (Multilinks)
NG,11,234800XXXXXXX,mobile,Alpha Technologies Ltd
NG,4,23434XXXXXX,geographic,
NG,11,2348010XXXXXX,mobile,Capcom Ltd (Megatech)
NG,11,2348011XXXXXX,mobile,Capcom Ltd (Megatech)
NG,12,234802XXXXXXX,mobile,Bharti Airtel Ltd (Celtel)
NG,12,234803XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,12,234804XXXXXXX,mobile,Nigerian Mobile Telecommunications Ltd (M-Tel)
NG,6,23448XXXXXX,geographic,
NG,1,2341214XXXX(X),wirelessgeographic,Capcom Ltd
NG,12,234805XXXXXXX,mobile,Globacom Ltd (Glo)
NG,5,23439XXXXXX,geographic,
NG,12,234806XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,8,23470XXXXXX(X),geographic,
NG,12,234807XXXXXXX,mobile,Globacom Ltd (Glo)
NG,4,23435XXXXXX,geographic,
NG,12,234808XXXXXXX,mobile,Bharti Airtel Ltd (Celtel)
NG,12,234809XXXXXXX,mobile,Emerging Markets Telecommunication Services Ltd (Etisalat)
NG,12,234810XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,3,2342750XXXX(X),wirelessgeographic,Capcom Ltd
NG,2,2341774XXXX(X),wirelessgeographic,Capcom Ltd
NG,12,234811XXXXXXX,mobile,Globacom Ltd (Glo)
NG,6,23450XXXXXX,geographic,
NG,13,234812XXXXXXX,mobile,Bharti Airtel Ltd (Celtel)
NG,5,2343976XXXX,wirelessgeographic,Capcom Ltd
NG,13,234813XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,13,234814XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,6,23451XXXXXX(X),geographic,
NG,3,2342751XXXX(X),wirelessgeographic,Capcom Ltd
NG,2,2341775XXXX(X),wirelessgeographic,Capcom Ltd
NG,11,23479XXXXXX,geographic,
NG,13,234815XXXXXXX,mobile,Globacom Ltd (Glo)
NG,4,2343573XXXX,wirelessgeographic,Capcom Ltd
NG,7,23459XXXXXX,geographic,
NG,13,234816XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,6,23452XXXXXX,geographic,
NG,13,234817XXXXXXX,mobile,Emerging Markets Telecommunication Services Ltd (Etisalat)
NG,3,2342752XXXX(X),wirelessgeographic,Capcom Ltd
NG,13,234818XXXXXXX,mobile,Emerging Markets Telecommunication Services Ltd (Etisalat)
NG,15,2349780XXXX,wirelessgeographic,Capcom Ltd
NG,11,23480XXXXXXXX,mobile,
NG,2,2341776XXXX(X),wirelessgeographic,Capcom Ltd
NG,7,23460XXXXXX,geographic,
NG,5,2343977XXXX,wirelessgeographic,Capcom Ltd
NG,13,2348190XXXXXX,mobile,Capcom Ltd (Starcomms)
NG,13,2348191XXXXXX,mobile,Capcom Ltd (Starcomms)
NG,4,23436XXXXXX,geographic,
NG,14,234902XXXXXXX,mobile,Bharti Airtel Ltd (Celtel)
NG,1,2341215XXXX(X),wirelessgeographic,Capcom Ltd
NG,14,23490XXXXXX,mobile,Cellular Mobile (ETACS)
NG,15,2349781XXXX,wirelessgeographic,Capcom Ltd
NG,6,23453XXXXXX,geographic,
NG,7,23461XXXXXX(X),geographic,
NG,2,2341790XXXX(X),wirelessgeographic,Capcom Ltd
NG,15,234903XXXXXXX,mobile,MTN Nigeria Communications Ltd
NG,3,23430XXXXXX,geographic,
NG,15,234905XXXXXXX,mobile,Globacom Ltd (Glo)
NG,1,2341216XXXX(X),wirelessgeographic,Capcom Ltd
NG,15,234908XXXXXXX,mobile,Emerging Markets Telecommunication Services Ltd (Etisalat)
NG,6,23454XXXXXX(X),geographic,
NG,15,2349782XXXX,wirelessgeographic,Capcom Ltd
NG,3,23431XXXXXX,geographic,
NG,15,234909XXXXXXX,mobile,Emerging Markets Telecommunication Services Ltd (Etisalat)
NG,2,2341791XXXX(X),wirelessgeographic,Capcom Ltd
NG,6,23455XXXXXX(X),geographic,
NG,7,23462XXXXXX,geographic,
NG,4,2343673XXXX,wirelessgeographic,Capcom Ltd
NG,2,2341792XXXX(X),wirelessgeographic,Capcom Ltd
NG,3,2343177XXXX,wirelessgeographic,Capcom Ltd
NG,1,2341217XXXX(X),wirelessgeographic,Capcom Ltd
NG,6,23456XXXXXX,geographic,
NG,5,23440XXXXXX,geographic,
NG,7,23463XXXXXX,geographic,
NG,15,2349783XXXX,wirelessgeographic,Capcom Ltd
NG,4,23437XXXXXX,geographic,
NG,1,2341218XXXX(X),wirelessgeographic,Capcom Ltd
NG,3,23432XXXXXX,geographic,
NG,5,23441XXXXXX,geographic,
NG,6,23457XXXXXX(X),geographic,
NG,1,2341219XXXX(X),wirelessgeographic,Capcom Ltd
NG,15,2349784XXXX,wirelessgeographic,Capcom Ltd
NG,13,23482XXXXXX,geographic,
NG,4,2343777XXXX,wirelessgeographic,Capcom Ltd
NG,4,2343778XXXX,wirelessgeographic,Capcom Ltd
NG,5,23442XXXXXX,geographic,
NG,7,23464XXXXXX,geographic,
NG,4,23438XXXXXX,geographic,
NG,5,23443XXXXXX,geographic,
NG,5,23444XXXXXX(X),geographic,
NG,7,23465XXXXXX(X),geographic,
NG,7,23466XXXXXX,geographic,
NG,5,23445XXXXXX,geographic,
NG,7,23467XXXXXX(X),geographic,
NG,5,23446XXXXXX,geographic,
