Country,Page,Range,Type,Provider
NI,5,+50527XXXXXX,geographic,
NI,5,+50527XXXXXX,geographic,
NI,1,505,proper,
NI,5,+50527XXXXXX,geographic,
NI,2,+50523XXXXXX,geographic,
NI,1,+50522XXXXXX,geographic,
NI,2,+50523XXXXXX,geographic,
NI,5,+50527XXXXXX,geographic,
NI,2,+50523XXXXXX,geographic,
NI,1,+50522XXXXXX,geographic,
NI,5,+50527XXXXXX,geographic,
NI,2,+50523XXXXXX,geographic,
NI,5,+50527XXXXXX,geographic,
NI,2,+50524XXXXXX,geographic,
NI,1,+50523XXXXXX,geographic,
NI,2,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,5,+5057XXXXXXX,mobile,
NI,2,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,5,+505750XXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,5,+505751XXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,5,+505752XXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,1,+50523XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,6,+505753XXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,6,+50586XXXXXX,mobile,
NI,2,+50525XXXXXX,geographic,
NI,6,+505754XXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,6,+505755XXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,6,+50576XXXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,1,+50523XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,6,+50577XXXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,6,+50578XXXXXX,mobile,Telefónica Móviles Nicaragua (movistar)
NI,3,+50525XXXXXX,geographic,
NI,1,+50523XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,6,+50588XXXXXX,mobile,
NI,2,+50525XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,1,+50523XXXXXX,geographic,
NI,6,+5059XXXXXX,premiumrate,
NI,4,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,1,+50523XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,2,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,1,+50523XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,4,+50525XXXXXX,geographic,
NI,3,+50525XXXXXX,geographic,
