Country,Page,Range,Type,Provider
NL,2385,316879XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316878XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316877XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316876XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316875XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316874XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316873XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316872XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316871XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316870XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316865XXXXX,mobile,Ziggo B.V.
NL,2384,316864XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316863XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316862XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316861XXXXX,mobile,Lycamobile Netherlands Limited
NL,2384,316860XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316849XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316848XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316847XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316846XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316845XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316844XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316843XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316842XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316841XXXXX,mobile,Lycamobile Netherlands Limited
NL,2383,316840XXXXX,mobile,Lycamobile Netherlands Limited
NL,2385,316888XXXXX,mobile,888 B.V.
NL,2382,316838XXXXX,mobile,KPN B.V.
NL,2382,316839XXXXX,mobile,KPN B.V.
NL,2382,316836XXXXX,mobile,KPN B.V.
NL,2382,316837XXXXX,mobile,KPN B.V.
NL,2382,316834XXXXX,mobile,KPN B.V.
NL,2382,316835XXXXX,mobile,KPN B.V.
NL,2382,316832XXXXX,mobile,KPN B.V.
NL,2382,316833XXXXX,mobile,KPN B.V.
NL,2382,316830XXXXX,mobile,KPN B.V.
NL,2382,316831XXXXX,mobile,KPN B.V.
NL,2381,316829XXXXX,mobile,KPN B.V.
NL,2381,316827XXXXX,mobile,KPN B.V.
NL,2381,316828XXXXX,mobile,KPN B.V.
NL,2381,316825XXXXX,mobile,KPN B.V.
NL,2381,316826XXXXX,mobile,KPN B.V.
NL,2381,316823XXXXX,mobile,KPN B.V.
NL,2381,316824XXXXX,mobile,KPN B.V.
NL,2381,316821XXXXX,mobile,KPN B.V.
NL,2381,316822XXXXX,mobile,KPN B.V.
NL,2381,316820XXXXX,mobile,KPN B.V.
NL,2380,316818XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316819XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316816XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316817XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316814XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316815XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316812XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316813XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316810XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2380,316811XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2379,316801XXXXX,mobile,Ziggo Services B.V.
NL,2379,316800XXXXX,mobile,Ziggo Services B.V.
NL,2373,316519XXXXX,mobile,KPN B.V.
NL,2373,316517XXXXX,mobile,KPN B.V.
NL,2373,316518XXXXX,mobile,KPN B.V.
NL,2372,316515XXXXX,mobile,KPN B.V.
NL,2373,316516XXXXX,mobile,KPN B.V.
NL,2372,316513XXXXX,mobile,KPN B.V.
NL,2372,316514XXXXX,mobile,KPN B.V.
NL,2372,316511XXXXX,mobile,KPN B.V.
NL,2372,316512XXXXX,mobile,KPN B.V.
NL,2372,316510XXXXX,mobile,KPN B.V.
NL,2372,316508XXXXX,mobile,Vodafone Libertel B.V.
NL,2372,316509XXXXX,mobile,Vodafone Libertel B.V.
NL,2372,316506XXXXX,mobile,Vodafone Libertel B.V.
NL,2372,316507XXXXX,mobile,Vodafone Libertel B.V.
NL,2371,316504XXXXX,mobile,Vodafone Libertel B.V.
NL,2371,316505XXXXX,mobile,Vodafone Libertel B.V.
NL,2371,316502XXXXX,mobile,Vodafone Libertel B.V.
NL,2371,316503XXXXX,mobile,Vodafone Libertel B.V.
NL,2371,316500XXXXX,mobile,Vodafone Libertel B.V.
NL,2371,316501XXXXX,mobile,Vodafone Libertel B.V.
NL,2377,316559XXXXX,mobile,Vodafone Libertel B.V.
NL,2377,316557XXXXX,mobile,Vodafone Libertel B.V.
NL,2377,316558XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316555XXXXX,mobile,Vodafone Libertel B.V.
NL,2377,316556XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316553XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316554XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316551XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316552XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316550XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316548XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316549XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316546XXXXX,mobile,Vodafone Libertel B.V.
NL,2376,316547XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316544XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316545XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316542XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316543XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316540XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316541XXXXX,mobile,Vodafone Libertel B.V.
NL,2375,316539XXXXX,mobile,KPN B.V.
NL,2375,316537XXXXX,mobile,KPN B.V.
NL,2375,316538XXXXX,mobile,KPN B.V.
NL,2374,316535XXXXX,mobile,KPN B.V.
NL,2375,316536XXXXX,mobile,KPN B.V.
NL,2374,316533XXXXX,mobile,KPN B.V.
NL,2374,316534XXXXX,mobile,KPN B.V.
NL,2374,316531XXXXX,mobile,KPN B.V.
NL,2374,316532XXXXX,mobile,KPN B.V.
NL,2374,316530XXXXX,mobile,KPN B.V.
NL,2374,316528XXXXX,mobile,Vodafone Libertel B.V.
NL,2374,316529XXXXX,mobile,Vodafone Libertel B.V.
NL,2374,316526XXXXX,mobile,Vodafone Libertel B.V.
NL,2374,316527XXXXX,mobile,Vodafone Libertel B.V.
NL,2373,316524XXXXX,mobile,Vodafone Libertel B.V.
NL,2373,316525XXXXX,mobile,Vodafone Libertel B.V.
NL,2373,316522XXXXX,mobile,Vodafone Libertel B.V.
NL,2373,316523XXXXX,mobile,Vodafone Libertel B.V.
NL,2373,316520XXXXX,mobile,Vodafone Libertel B.V.
NL,2373,316521XXXXX,mobile,Vodafone Libertel B.V.
NL,2379,316598XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2379,316595XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2378,316593XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2378,316594XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2378,316591XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2378,316592XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2378,316590XXXXX,mobile,Vectone Mobile (Netherlands) Ltd
NL,2378,316580XXXXX,mobile,Private Mobility Nederland B.V.
NL,2378,316579XXXXX,mobile,KPN B.V.
NL,2378,316577XXXXX,mobile,KPN B.V.
NL,2378,316578XXXXX,mobile,KPN B.V.
NL,2377,316575XXXXX,mobile,KPN B.V.
NL,2378,316576XXXXX,mobile,KPN B.V.
NL,2377,316573XXXXX,mobile,KPN B.V.
NL,2377,316574XXXXX,mobile,KPN B.V.
NL,2377,316571XXXXX,mobile,KPN B.V.
NL,2377,316572XXXXX,mobile,KPN B.V.
NL,2377,316570XXXXX,mobile,KPN B.V.
NL,2367,316438XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316439XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316436XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316437XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316434XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316435XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316432XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316433XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316430XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2367,316431XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316429XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316427XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316428XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316425XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316426XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316423XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316424XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316421XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316422XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2366,316420XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2365,316409XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316407XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316408XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316405XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316406XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316403XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316404XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316401XXXXX,mobile,Tele2 Nederland B.V.
NL,2365,316402XXXXX,mobile,Tele2 Nederland B.V.
NL,2364,316400XXXXX,mobile,Tele2 Nederland B.V.
NL,2370,316480XXXXX,mobile,T-Mobile Netherlands B.V.
NL,2369,316458XXXXX,mobile,KPN B.V.
NL,2369,316459XXXXX,mobile,KPN B.V.
NL,2369,316456XXXXX,mobile,KPN B.V.
NL,2369,316457XXXXX,mobile,KPN B.V.
NL,2369,316454XXXXX,mobile,KPN B.V.
NL,2369,316455XXXXX,mobile,KPN B.V.
NL,2369,316452XXXXX,mobile,KPN B.V.
NL,2369,316453XXXXX,mobile,KPN B.V.
NL,2369,316450XXXXX,mobile,KPN B.V.
NL,2369,316451XXXXX,mobile,KPN B.V.
NL,2368,316449XXXXX,mobile,KPN B.V.
NL,2368,316447XXXXX,mobile,KPN B.V.
NL,2368,316448XXXXX,mobile,KPN B.V.
NL,2368,316445XXXXX,mobile,KPN B.V.
NL,2368,316446XXXXX,mobile,KPN B.V.
NL,2368,316443XXXXX,mobile,KPN B.V.
NL,2368,316444XXXXX,mobile,KPN B.V.
NL,2368,316441XXXXX,mobile,KPN B.V.
NL,2368,316442XXXXX,mobile,KPN B.V.
NL,2368,316440XXXXX,mobile,KPN B.V.
NL,2371,316498XXXXX,mobile,KPN B.V.
NL,2371,316499XXXXX,mobile,KPN B.V.
NL,2370,316496XXXXX,mobile,KPN B.V.
NL,2371,316497XXXXX,mobile,KPN B.V.
NL,2370,316494XXXXX,mobile,KPN B.V.
NL,2370,316495XXXXX,mobile,KPN B.V.
NL,2370,316492XXXXX,mobile,KPN B.V.
NL,2370,316493XXXXX,mobile,KPN B.V.
NL,2370,316490XXXXX,mobile,KPN B.V.
NL,2370,316491XXXXX,mobile,KPN B.V.
NL,2358,316319XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316317XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316318XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316315XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316316XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316313XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316314XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316311XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316312XXXXX,mobile,Vodafone Libertel B.V.
NL,2358,316310XXXXX,mobile,Vodafone Libertel B.V.
NL,2357,316308XXXXX,mobile,KPN B.V.
