Country,Page,Range,Type,Provider
NP,60,97798560XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798550XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,60,97798590XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,60,97798580XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,60,97798584XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,60,97798587XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,60,97798570XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798520XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798526XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798528XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798510XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798540XXXXX,mobile,Nepal Doorsanchar Company Ltd
NP,59,97798460XXXXX,mobile,Nepal Doorsanchar Company Ltd (prepaid)
NP,59,97798450XXXXX,mobile,Nepal Doorsanchar Company Ltd (prepaid)
NP,59,97798420XXXXX,mobile,Nepal Doorsanchar Company Ltd (prepaid)
NP,58,97798412XXXXX,mobile,Nepal Doorsanchar Company Ltd (prepaid)
NP,58,977980XXXXXXX,mobile,Spice Nepal Private Ltd (Ncell)
NP,58,977981XXXXXXX,mobile,Spice Nepal Private Ltd (Ncell)
