Country,Page,Range,Type,Provider
NR,3,+674557XXXX,mobile,
NR,3,+674558XXXX,mobile,
NR,3,+674559XXXX,mobile,
NR,3,+674888XXXX,geographic,
NR,3,+6748888XXX,geographic,
NR,1,674,proper,
NR,3,+6748889XXX,geographic,
NR,1,+67444431XX,geographic,
NR,2,+67444471XX,geographic,
NR,1,+67444432XX,geographic,
NR,2,+67444472XX,geographic,
NR,1,+67444433XX,geographic,
NR,2,+67444473XX,geographic,
NR,1,+67444435XX,geographic,
NR,2,+674554XXXX,mobile,
NR,2,+674555XXXX,mobile,
NR,1,+67444437XX,geographic,
NR,1,+67444438XX,geographic,
NR,2,+6745554XXX,mobile,
NR,2,+6745556XXX,mobile,
NR,1,+67444461XX,geographic,
NR,2,+6745557XXX,mobile,
NR,2,+6745558XXX,mobile,
NR,1,+67444462XX,geographic,
NR,1,+67444463XX,geographic,
NR,2,+674556XXXX,mobile,
