Country,Page,Range,Type,Provider
NU,1,683,proper,
NU,1,+6832XXX,wirelessgeographic,Telecom Niue (GSM)
NU,1,+6838884XXX,mobile,Telecom Niue (prepaid)
NU,1,+6834XXX,geographic,Telecom Niue
NU,1,6834133,geographic,Fire department
NU,1,+6837XXX,geographic,Telecom Niue
NU,1,+6838885XXX,mobile,Telecom Niue (prepaid)
NU,1,+6838886XXX,mobile,Telecom Niue (prepaid)
NU,1,+6838887XXX,mobile,Telecom Niue (prepaid)
NU,1,+6838888XXX,mobile,Telecom Niue (prepaid)
NU,2,+6838889XXX,mobile,Telecom Niue (prepaid)
