Country,Page,Range,Type,Provider
NZ,100,647543XXXX,geographic,
NZ,100,647544XXXX,geographic,
NZ,101,647575XXXX,geographic,
NZ,100,647548XXXX,geographic,
NZ,100,647549XXXX,geographic,
NZ,101,647576XXXX,geographic,
NZ,106,647886XXXX,geographic,
NZ,100,647552XXXX,geographic,
NZ,101,647577XXXX,geographic,
NZ,106,647887XXXX,geographic,
NZ,100,647570XXXX,geographic,
NZ,101,647578XXXX,geographic,
NZ,104,647862XXXX,geographic,
NZ,106,647888XXXX,geographic,
NZ,106,647889XXXX,geographic,
NZ,100,647571XXXX,geographic,
NZ,104,647863XXXX,geographic,
NZ,101,647579XXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,105,647873XXXX,geographic,
NZ,102,647828XXXX,geographic,
NZ,108,6486XXXXXX(X),pager,Telecom New Zealand
NZ,109,649XXXXXXX,geographic,
NZ,104,647864XXXX,geographic,
NZ,100,647572XXXX,geographic,
NZ,106,647892XXXX,geographic,
NZ,107,647916XXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,101,647823XXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,106,647893XXXX,geographic,
NZ,108,6487XX(XXXX),internetserviceprovider,
NZ,107,647921XXXX,geographic,
NZ,101,647824XXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,104,647865XXXX,geographic,
NZ,106,647894XXXX,geographic,
NZ,105,647876XXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,111,649XXXXXXX,geographic,
NZ,100,647573XXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,102,647829XXXX,geographic,
NZ,106,647895XXXX,geographic,
NZ,100,647574XXXX,geographic,
NZ,105,647877XXXX,geographic,
NZ,104,647866XXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,113,649XXXXXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,103,647848XXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,101,647825XXXX,geographic,
NZ,111,649XXXXXXX,geographic,
NZ,105,647878XXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,104,647867XXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,102,647833XXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,106,647896XXXX,geographic,
NZ,107,647922XXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,113,649XXXXXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,105,647880XXXX,geographic,
NZ,10,643XXXXXXX,geographic,
NZ,101,647826XXXX,geographic,
NZ,111,649XXXXXXX,geographic,
NZ,103,647849XXXX,geographic,
NZ,104,647868XXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,102,647833XXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,113,649XXXXXXX,geographic,
NZ,106,647906XXXX,geographic,
NZ,117,649XXXXXXX,geographic,
NZ,105,647881XXXX,geographic,
NZ,107,647928XXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,10,643XXXXXXX,geographic,
NZ,104,647870XXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,102,647834XXXX,geographic,
NZ,103,647850XXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,101,647827XXXX,geographic,
NZ,111,649XXXXXXX,geographic,
NZ,105,647882XXXX,geographic,
NZ,107,647935XXXX,geographic,
NZ,116,649XXXXXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,102,647838XXXX,geographic,
NZ,113,649XXXXXXX,geographic,
NZ,111,649XXXXXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,117,649XXXXXXX,geographic,
NZ,107,647957XXXX,geographic,
NZ,10,643XXXXXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,118,649XXXXXXX,geographic,
NZ,103,647853XXXX,geographic,
NZ,102,647839XXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,105,647883XXXX,geographic,
NZ,11,643XXXXXXX,geographic,
NZ,119,649XXXXXXX,geographic,
NZ,104,647871XXXX,geographic,
NZ,117,649XXXXXXX,geographic,
NZ,12,643XXXXXXX,geographic,
NZ,116,649XXXXXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,105,647884XXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,118,649XXXXXXX,geographic,
NZ,103,647854XXXX,geographic,
NZ,114,649XXXXXXX,geographic,
NZ,12,643XXXXXXX,geographic,
NZ,117,649XXXXXXX,geographic,
NZ,11,643XXXXXXX,geographic,
NZ,113,649XXXXXXX,geographic,
NZ,122,649255XXXX,geographic,
NZ,102,647843XXXX,geographic,
NZ,110,649XXXXXXX,geographic,
NZ,10,643XXXXXXX,geographic,
NZ,104,647872XXXX,geographic,
NZ,119,649XXXXXXX,geographic,
NZ,118,649XXXXXXX,geographic,
NZ,123,649268XXXX,geographic,
NZ,109,649XXXXXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,105,647885XXXX,geographic,
NZ,107,647975XXXX,geographic,
NZ,133,649445XXXX,geographic,
NZ,114,649XXXXXXX,geographic,
NZ,131,649423XXXX,geographic,
NZ,12,643XXXXXXX,geographic,
NZ,115,649XXXXXXX,geographic,
NZ,103,647855XXXX,geographic,
NZ,123,649269XXXX,geographic,
NZ,118,649XXXXXXX,geographic,
NZ,116,649XXXXXXX,geographic,
NZ,117,649XXXXXXX,geographic,
NZ,113,649XXXXXXX,geographic,
NZ,125,649300XXXX,geographic,
NZ,137,649575XXXX,geographic,
NZ,107,64800XXXXX(XX),freephone,
NZ,111,649XXXXXXX,geographic,
NZ,112,649XXXXXXX,geographic,
NZ,123,649270XXXX,geographic,
NZ,10,643XXXXXXX,geographic,
NZ,108,649XXXXXXX,geographic,
NZ,129,649402XXXX,geographic,
NZ,133,649446XXXX,geographic,
NZ,107,6483XXX(XXX),voicemail(mobile),
NZ,112,649XXXXXXX,geographic,
NZ,114,649XXXXXXX,geographic,
NZ,122,649256XXXX,geographic,
NZ,131,649424XXXX,geographic,
