Country,Page,Range,Type,Provider
OM,5,+9682483XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682451XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,1,968,proper,
OM,5,+9682483XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682452XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,8,+96871XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,1,+96822XXXXXX,geographic,
OM,5,+96825XXXXXX,geographic,
OM,2,+96824423XXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682453XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,1,+96823XXXXXX,geographic,
OM,6,+9682542XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,8,+96879XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,5,+96825XXXXXX,geographic,
OM,2,+96824424XXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682454XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,8,+968900XXXXX,mobile,Omantel / Ooredoo
OM,1,+968232XXXXX,geographic,Oman Telecommunications Co (Omantel)
OM,6,+9682542XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,7,+96826XXXXXX,geographic,
OM,2,+96824425XXX,geographic,Oman Telecommunications Co (Omantel)
OM,5,+96825XXXXXX,geographic,
OM,3,+9682456XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,8,+968901XXXXX,mobile,Omantel / Ooredoo
OM,2,+96824427XXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968902XXXXX,mobile,Omantel / Ooredoo
OM,5,+9682534XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,6,+9682543XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,8,+96826871XXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968903XXXXX,mobile,Omantel / Ooredoo
OM,7,+9682673XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968904XXXXX,mobile,Omantel / Ooredoo
OM,6,+9682543XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,5,+9682535XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,7,+9682680XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682457XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,1,+968232XXXXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968905XXXXX,mobile,Omantel / Ooredoo
OM,2,+96824428XXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968906XXXXX,mobile,Omantel / Ooredoo
OM,8,+96826875XXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968907XXXXX,mobile,Omantel / Ooredoo
OM,7,+9682684XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,6,+9682554XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,1,+96824XXXXXX,geographic,
OM,9,+968908XXXXX,mobile,Omantel / Ooredoo
OM,5,+9682536XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,2,+96824446XXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682459XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+968909XXXXX,mobile,Omantel / Ooredoo
OM,9,+96891XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,8,+96826876XXX,geographic,Oman Telecommunications Co (Omantel)
OM,7,+9682685XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,6,+9682557XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,3,+9682460XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,1,+9682438XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,5,+9682541XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,4,+9682470XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,9,+96892XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,2,+96824449XXX,geographic,Oman Telecommunications Co (Omantel)
OM,10,+96893XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,10,+96894XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,6,+9682565XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,7,+9682686XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,8,+96826877XXX,geographic,Oman Telecommunications Co (Omantel)
OM,1,+96824420XXX,geographic,Oman Telecommunications Co (Omantel)
OM,10,+968950XXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,3,+9682467XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,10,+968951XXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,4,+9682471XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,7,+96826860XXX,geographic,Oman Telecommunications Co (Omantel)
OM,10,+968952XXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,5,+9682541XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,2,+9682445XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,6,+9682568XXXX,geographic,Oman Telecommunications Co (Omantel)
OM,10,+968953XXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,1,+96824421XXX,geographic,Oman Telecommunications Co (Omantel)
