Country,Page,Range,Type,Provider
OM,9,968902XXXXX,mobile,Omantel / Ooredoo
OM,8,968901XXXXX,mobile,Omantel / Ooredoo
OM,9,968906XXXXX,mobile,Omantel / Ooredoo
OM,9,968905XXXXX,mobile,Omantel / Ooredoo
OM,9,968904XXXXX,mobile,Omantel / Ooredoo
OM,9,968903XXXXX,mobile,Omantel / Ooredoo
OM,9,968909XXXXX,mobile,Omantel / Ooredoo
OM,9,968908XXXXX,mobile,Omantel / Ooredoo
OM,9,968907XXXXX,mobile,Omantel / Ooredoo
OM,8,96879XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,8,96871XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,11,96899XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,10,96896XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,10,96895XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,10,96898XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,10,96897XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,9,96892XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,9,96891XXXXXX,mobile,Oman Telecommunications Co (Omantel)
OM,10,96894XXXXXX,mobile,Omani Qatari Telecommunications Co (Ooredoo)
OM,10,96893XXXXXX,mobile,Oman Telecommunications Co (Omantel)
