Country,Page,Range,Type,Provider
PE,14,51956XXXXXX,mobile,
PE,10,519419XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,1,51,proper,
PE,10,519426XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,10,519427XXXXX,mobile,Claro Perú
PE,10,519429XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,10,519433XXXXX,mobile,Claro Perú
PE,10,519XXXXXXXX,mobile,
PE,10,519434XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,11,519435XXXXX,mobile,Claro Perú
PE,11,519436XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,1,511XXXXXXX,geographic,
PE,11,5194391XXXX,mobile,Bell South
PE,11,5194395XXXX,mobile,Bell South
PE,11,519439XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,51963XXXXXX,mobile,
PE,11,519493XXXXX,mobile,Claro Perú
PE,11,519494XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,10,51941XXXXXX,mobile,
PE,11,519495XXXXX,mobile,Bell South
PE,11,519496XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,22,5199XXXXXXX,mobile,
PE,1,51160XXXXX,geographic,Gilat To Home Perú SA
PE,12,5194990XXXX,mobile,Bell South
PE,12,5194992XXXX,mobile,Bell South
PE,12,5194993XXXX,mobile,Bell South
PE,12,5194994XXXX,mobile,Bell South
PE,12,519499XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,12,519515XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,12,519516XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,12,519517XXXXX,mobile,Claro Perú
PE,12,519518XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,13,5195192XXXX,mobile,Bell South
PE,13,519519XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,1,51161XXXXX,geographic,USA AT&T
PE,13,519522XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,13,519523XXXXX,mobile,Claro Perú
PE,13,519525XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,10,51942XXXXXX,mobile,
PE,17,51965XXXXXX,mobile,
PE,13,519526XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,13,519529XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,21,51983XXXXXX,mobile,
PE,13,519535XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,51964XXXXXX,mobile,
PE,14,5195350XXXX,mobile,Claro Perú
PE,14,519536XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,14,519539XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,14,519566XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,14,519567XXXXX,mobile,Claro Perú
PE,1,51162XXXXX,geographic,USA AT&T
PE,14,51959XXXXXX,mobile,
PE,14,519569XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,14,519592XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,14,519593XXXXX,mobile,Claro Perú
PE,15,519595XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,15,519596XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,15,519597XXXXX,mobile,Claro Perú
PE,15,519598XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,12,51951XXXXXX,mobile,
PE,13,51952XXXXXX,mobile,
PE,2,5118XXXXXX,wirelessgeographic,
PE,15,519599XXXXX,mobile,Bell South
PE,15,519616XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,1,51165XXXXX,geographic,Americatel Peru
PE,19,51972XXXXXX,mobile,
PE,15,519618XXXXX,mobile,Claro Perú
PE,15,519619XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,519626XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,519629XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,519636XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,519639XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,519643XXXXX,mobile,Claro Perú
PE,16,519646XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,16,5196493XXXX,mobile,Bell South
PE,1,51166XXXXX,geographic,Millicom
PE,16,519649XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,3,5143XXXXXX,geographic,
PE,17,5196494XXXX,mobile,Bell South
PE,17,5196495XXXX,mobile,Bell South
PE,18,51967XXXXXX,mobile,
PE,21,51984XXXXXX,mobile,
PE,17,519656XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,17,519657XXXXX,mobile,Claro Perú
PE,17,5196593XXXX,mobile,Bell South
PE,2,51181XXXXX,wirelessgeographic,Telefónica Moviles S.A (Movistar)
PE,17,5196594XXXX,mobile,Bell South
PE,17,5196595XXXX,mobile,Bell South
PE,17,519659XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,1,51167XXXXX,geographic,Telefonica Andina
PE,18,519666XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,18,519669XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,18,519676XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,6,5164XXXXXX,geographic,
PE,7,51678XXXXX,wirelessgeographic,
PE,18,519679XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,18,519692XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,18,519696XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,18,519697XXXXX,mobile,Claro Perú
PE,18,519699XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,19,5196992XXXX,mobile,Bell South
PE,19,5196993XXXX,mobile,Bell South
PE,19,519726XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,19,519729XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,4,51528XXXXX,wirelessgeographic,
PE,2,51182XXXXX,wirelessgeographic,Telefónica Moviles S.A (Movistar)
PE,19,519763XXXXX,mobile,Claro Perú
PE,19,519764XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,15,51961XXXXXX,mobile,
PE,8,517481XXXX,wirelessgeographic,Gilat To Home Perú SA
PE,19,519765XXXXX,mobile,Bell South
PE,19,519766XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,20,519769XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,7,516782XXXX,wirelessgeographic,Gilat To Home Perú SA
PE,20,519792XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,20,519795XXXXX,mobile,Bell South
PE,20,519796XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,20,519797XXXXX,mobile,Claro Perú
PE,4,515281XXXX,wirelessgeographic,Gilat To Home Perú SA
PE,11,51949XXXXXX,mobile,
PE,20,5197994XXXX,mobile,Bell South
PE,20,5197995XXXX,mobile,Bell South
PE,20,519799XXXXX,mobile,Telefónica Moviles S.A (Movistar)
PE,21,519826XXXXX,mobile,Telefónica Moviles S.A (Movistar)
