Country,Page,Range,Type,Provider
PF,2,68949911X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,2,68949912X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,2,68949913X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,2,68949914X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,3,68949938X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,3,68949939X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,2,68949921X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,3,68949941X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,2,68949922X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,3,6898720XX,mobile,VINI (prepaid)
PF,1,689,proper,
PF,3,6898721XX,mobile,VINI (prepaid)
PF,3,6898722XX,mobile,VINI (prepaid)
PF,3,6898723XX,mobile,VINI (prepaid)
PF,3,6898724XX,mobile,VINI (prepaid)
PF,4,6898725XX,mobile,VINI (prepaid)
PF,4,6898726XX,mobile,VINI (prepaid)
PF,4,6898727XX,mobile,VINI (prepaid)
PF,4,6898728XX,mobile,VINI
PF,4,6898729XX,mobile,VINI
PF,3,68949942X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,4,6898730XX,mobile,VINI
PF,4,6898731XX,mobile,VINI
PF,4,6898732XX,mobile,VINI
PF,4,6898733XX,mobile,VINI
PF,2,68949923X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,1,689404XXX,geographic,Office des Postes et Télécommunications (OPT)
PF,4,6898734XX,mobile,VINI
PF,5,689873917,mobile,VINI
PF,5,689874113,mobile,VINI
PF,3,68949943X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,5,689874114,mobile,VINI
PF,5,689874115,mobile,VINI
PF,1,689405XXX,geographic,Office des Postes et Télécommunications (OPT)
PF,2,68949924X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,5,689874116,mobile,VINI
PF,5,6898735XX,mobile,VINI
PF,5,6898736XX,mobile,VINI
PF,2,68949936X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,1,689406XXX,geographic,Office des Postes et Télécommunications (OPT)
PF,5,6898737XX,mobile,VINI
PF,5,6898770XX,mobile,VINI
PF,5,6898771XX,mobile,VINI
PF,6,6898772XX,mobile,VINI
PF,2,68949937X,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,6,6898773XX,mobile,VINI
PF,1,6894060XX,geographic,Office des Postes et Télécommunications (OPT)
PF,6,6898774XX,mobile,VINI
PF,6,68987754X,mobile,VINI (prepaid)
PF,6,68987758X,mobile,VINI (prepaid)
PF,6,6898775XX,mobile,VINI
PF,6,6898776XX,mobile,VINI
PF,6,6898777XX,mobile,VINI
PF,6,6898778XX,mobile,VINI
PF,1,689408XXX,geographic,Office des Postes et Télécommunications (OPT)
PF,6,6898779XX,mobile,VINI
PF,7,68989XXXXXX,mobile,Vodafone Pacific Mobile Telecom (PMT)
PF,1,6894088XX,payphone,Office des Postes et Télécommunications (OPT)
PF,1,689409XXX,wirelessgeographic,Office des Postes et Télécommunications (OPT)
PF,1,68944XXXX,audiotext,Office des Postes et Télécommunications (OPT)
PF,1,6894990XX,wirelessgeographic,Office des Postes et Télécommunications (OPT)
