Country,Page,Range,Type,Provider
PG,11,675775XXXXX,mobile,Telikom PNG Ltd (Citifon)
PG,10,675736XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675735XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675738XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675737XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675739XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675732XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675731XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675734XXXXX,mobile,Digicel (PNG) Ltd
PG,10,675733XXXXX,mobile,Digicel (PNG) Ltd
PG,12,67581XXXXXX,mobile,Digivoip Communications Ltd
PG,9,67571XXXXXX,mobile,Digicel (PNG) Ltd
PG,9,67570XXXXXX,mobile,Digicel (PNG) Ltd
PG,11,67575XXXXXX,mobile,BeMobile (PNG) Ltd
PG,10,67574XXXXXX,mobile,Digicel (PNG) Ltd
PG,9,67572XXXXXX,mobile,Digicel (PNG) Ltd
PG,12,67579XXXXXX,mobile,Digicel (PNG) Ltd
PG,11,67578XXXXXX,mobile,Telikom PNG Ltd (Citifon)
PG,11,67576XXXXXX,mobile,BeMobile (PNG) Ltd
