Country,Page,Range,Type,Provider
PH,48,63910XXXXXXX,mobile,Smart Communications
PH,48,63912XXXXXXX,mobile,Smart Communications
PH,48,63915XXXXXXX,mobile,Globe Telecom
PH,49,63917XXXXXXX,mobile,Globe Telecom
PH,48,63916XXXXXXX,mobile,Globe Telecom
PH,49,63919XXXXXXX,mobile,Smart Communications
PH,49,63918XXXXXXX,mobile,Smart Communications
PH,48,63906XXXXXXX,mobile,Globe Telecom
PH,48,63905XXXXXXX,mobile,Globe Telecom
PH,48,63908XXXXXXX,mobile,Smart Communications
PH,48,63907XXXXXXX,mobile,Smart Communications
PH,48,63909XXXXXXX,mobile,Smart Communications
PH,51,63946XXXXXXX,mobile,Smart Communications
PH,51,63948XXXXXXX,mobile,Smart Communications
PH,51,63947XXXXXXX,mobile,Smart Communications
PH,51,63949XXXXXXX,mobile,Smart Communications
PH,50,63933XXXXXXX,mobile,Digitel / Sun Cellular
PH,50,63932XXXXXXX,mobile,Digitel / Sun Cellular
PH,50,63935XXXXXXX,mobile,Globe Telecom
PH,50,63934XXXXXXX,mobile,Digitel / Sun Cellular
PH,50,63937XXXXXXX,mobile,Globe Telecom
PH,50,63936XXXXXXX,mobile,Globe Telecom
PH,50,63939XXXXXXX,mobile,Smart Communications
PH,50,63938XXXXXXX,mobile,Red Telecom
PH,50,63930XXXXXXX,mobile,Smart Communications
PH,49,63922XXXXXXX,mobile,Digitel / Sun Cellular
PH,49,63921XXXXXXX,mobile,Smart Communications
PH,49,63923XXXXXXX,mobile,Digitel / Sun Cellular
PH,49,63926XXXXXXX,mobile,Globe Telecom
PH,49,63928XXXXXXX,mobile,Smart Communications
PH,49,63927XXXXXXX,mobile,Globe Telecom
PH,50,63929XXXXXXX,mobile,Smart Communications
PH,49,63920XXXXXXX,mobile,Smart Communications
PH,51,63999XXXXXXX,mobile,Smart Communications
PH,51,63994XXXXXXX,mobile,Globe Telecom
PH,51,63989XXXXXXX,mobile,Smart Communications
PH,51,63979XXXXXXX,mobile,Next Mobile (Nextel)
PH,51,63973XXXXXXX,mobile,Extelcom (CDMA)
PH,51,63974XXXXXXX,mobile,Extelcom (CDMA)
