Country,Page,Range,Type,Provider
PK,13,9258154XXXXX,geographic,Special Communication Organisations (SCI)
PK,13,9258154XXXXX,wirelessgeographic,FLL/WLL operator
PK,10,9258119XXXXX,geographic,Government Organisations
PK,13,9258155XXXXX,wirelessgeographic,FLL/WLL operator
PK,10,9258122XXXXX,wirelessgeographic,FLL/WLL operator
PK,15,9258175XXXXX,wirelessgeographic,FLL/WLL operator
PK,15,9258176XXXXX,wirelessgeographic,FLL/WLL operator
PK,13,9258156XXXXX,wirelessgeographic,FLL/WLL operator
PK,10,9258123XXXXX,wirelessgeographic,FLL/WLL operator
PK,13,9258157XXXXX,wirelessgeographic,FLL/WLL operator
PK,15,9258177XXXXX,wirelessgeographic,FLL/WLL operator
PK,16,9258186XXXXX,wirelessgeographic,FLL/WLL operator
PK,11,9258132XXXXX,wirelessgeographic,FLL/WLL operator
PK,1,92,proper,
PK,14,9258164XXXXX,geographic,Special Communication Organisations (SCI)
PK,19,9258238XXXXX,wirelessgeographic,FLL/WLL operator
PK,16,9258187XXXXX,wirelessgeographic,FLL/WLL operator
PK,14,9258165XXXXX,wirelessgeographic,FLL/WLL operator
PK,25,92723XXXXXX,geographic,
PK,15,9258178XXXXX,wirelessgeographic,FLL/WLL operator
PK,27,92843XXXXXX,geographic,
PK,19,9258239XXXXX,geographic,Government Organisations
PK,21,9258262XXXXX,wirelessgeographic,FLL/WLL operator
PK,13,9258158XXXXX,wirelessgeographic,FLL/WLL operator
PK,11,9258133XXXXX,wirelessgeographic,FLL/WLL operator
PK,21,9258263XXXXX,wirelessgeographic,FLL/WLL operator
PK,12,9258143XXXXX,wirelessgeographic,FLL/WLL operator
PK,15,9258179XXXXX,geographic,Government Organisations
PK,16,9258188XXXXX,wirelessgeographic,FLL/WLL operator
PK,2,922138XXXXXX,geographic,
PK,14,9258166XXXXX,wirelessgeographic,FLL/WLL operator
PK,27,92844XXXXXX,geographic,
PK,26,92828XXXXXX,geographic,
PK,10,9258124XXXXX,wirelessgeographic,FLL/WLL operator
PK,1,92122XXXXXX,universalaccess,
PK,20,9258249XXXXX,geographic,Government Organisations
PK,19,9258242XXXXX,wirelessgeographic,FLL/WLL operator
PK,22,9258273XXXXX,wirelessgeographic,FLL/WLL operator
PK,13,9258159XXXXX,geographic,Government Organisations
PK,16,9258189XXXXX,geographic,Government Organisations
PK,25,92726XXXXXX,geographic,
PK,10,9258124XXXXX,geographic,Special Communication Organisations (SCI)
