Country,Page,Range,Type,Provider
PL,101,4823XXXX(XXX),geographic,
PL,102,4823XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,102,4823XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,107,4824XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,102,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,113,4824XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,113,4824XXXX(XXX),geographic,
PL,103,4824XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,101,4823XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,120,4825XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,110,4824XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,100,4823XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,120,4825XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,120,4825XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,120,4825XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,106,4824XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,105,4824XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,104,4824XXXX(XXX),geographic,
PL,120,4829XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,112,4824XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,118,4825XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,10,4812XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,120,4829XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,108,4824XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,120,4829XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,120,4829XXXX(XXX),geographic,
PL,128,4829XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,116,4825XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,109,4824XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,122,4829XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,130,4829XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,119,4825XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,11,4813XXXX(XXX),geographic,
PL,130,4829XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,111,4824XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,113,4825XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,120,4829XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,114,4825XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,117,4825XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,120,4829XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,115,4825XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,141,4832XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,124,4829XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,143,4832XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,142,4832XXXX(XXX),geographic,
PL,141,4832XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,14,4813XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,12,4813XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,143,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,142,4832XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,123,4829XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,145,4832XXXX(XXX),geographic,
PL,143,4832XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,141,4832XXXX(XXX),geographic,
PL,134,4832XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,14,4813XXXX(XXX),geographic,
PL,125,4829XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,142,4832XXXX(XXX),geographic,
PL,121,4829XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,14,4813XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,137,4832XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,141,4832XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,145,4832XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,143,4832XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,126,4829XXXX(XXX),geographic,
PL,142,4832XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,130,4832XXXX(XXX),geographic,
PL,140,4832XXXX(XXX),geographic,
PL,13,4813XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,14,4813XXXX(XXX),geographic,
PL,141,4832XXXX(XXX),geographic,
PL,127,4829XXXX(XXX),geographic,
PL,145,4832XXXX(XXX),geographic,
PL,136,4832XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,135,4832XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,142,4832XXXX(XXX),geographic,
PL,147,4832XXXX(XXX),geographic,
PL,133,4832XXXX(XXX),geographic,
PL,132,4832XXXX(XXX),geographic,
PL,131,4832XXXX(XXX),geographic,
PL,129,4829XXXX(XXX),geographic,
PL,144,4832XXXX(XXX),geographic,
PL,139,4832XXXX(XXX),geographic,
PL,138,4832XXXX(XXX),geographic,
PL,145,4832XXXX(XXX),geographic,
