Country,Page,Range,Type,Provider
PR,16,+1787351XXXX,pager,Mr. Beeper#comma Inc.
PR,10,+1787289XXXX,geographic,Puerto Rico Telephone Co.
PR,10,+1787290XXXX,geographic,Puerto Rico Telephone Co.
PR,16,+1787352XXXX,pager,Mr. Beeper#comma Inc.
PR,1,+1787200XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,16,+1787353XXXX,pager,Mr. Beeper#comma Inc.
PR,1,+1787201XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,1,+1787202XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,11,+1787301XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,1,+1787203XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,1,+1787204XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,1,+1787205XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,10,+1787292XXXX,geographic,Puerto Rico Telephone Co.
PR,1,+1787206XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,1,+1787207XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,2,+1787208XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,11,+1787302XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,2,+1787209XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,10,+1787293XXXX,geographic,Puerto Rico Telephone Co.
PR,2,+1787210XXXX,mobile,Suncom Dba T-mobile Usa
PR,2,+1787212XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,2,+1787213XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,2,+1787214XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,2,+1787215XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,11,+1787303XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,2,+1787216XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,2,+1787217XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,14,+1787330XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,2,+1787218XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,10,+1787294XXXX,geographic,Puerto Rico Telephone Co.
PR,3,+1787219XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,3,+1787220XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,3,+1787221XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,3,+1787222XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,11,+1787304XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,3,+1787223XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,3,+1787224XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,3,+1787225XXXX,mobile,Suncom Dba T-mobile Usa
PR,3,+1787226XXXX,mobile,Suncom Dba T-mobile Usa
PR,3,+1787227XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,3,+1787228XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,11,+1787305XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,4,+1787229XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,14,+1787331XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,4,+1787231XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,4,+1787232XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,4,+1787233XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,4,+1787234XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,4,+1787235XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,4,+1787236XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,10,+1787296XXXX,geographic,Puerto Rico Telephone Co.
PR,4,+1787237XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,4,+1787238XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787239XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787240XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787241XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787242XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787243XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787244XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,14,+1787332XXXX,geographic,Optivon Telecommunications Services#comma Inc. - Pr
PR,5,+1787245XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,5,+1787246XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
