Country,Page,Range,Type,Provider
PR,84,1939910XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,84,1939940XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,84,1939969XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939630XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939628XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939640XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939642XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939644XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939645XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,83,1939639XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,84,1939697XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,83,1939579XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,84,1939865XXXX,mobile,Suncom Dba T-mobile Usa
PR,84,1939891XXXX,mobile,Suncom Dba T-mobile Usa
PR,84,1939777XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,84,1939717XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,84,1939732XXXX,mobile,Suncom Dba T-mobile Usa
PR,84,1939731XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,79,1939218XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,79,1939232XXXX,mobile,Suncom Dba T-mobile Usa
PR,79,1939240XXXX,mobile,Suncom Dba T-mobile Usa
PR,79,1939242XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,79,1939241XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939244XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939243XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939246XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939245XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939248XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939247XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939249XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939251XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939250XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,81,1939253XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,80,1939252XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,81,1939255XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,81,1939254XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,81,1939257XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,81,1939256XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,81,1939259XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,81,1939258XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,78,1939201XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,79,1939212XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,79,1939214XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,79,1939217XXXX,mobile,Suncom Dba T-mobile Usa
PR,79,1939207XXXX,mobile,Pr Wireless#comma Inc. Dba Open Mobile
PR,83,1939475XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,82,1939440XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,83,1939452XXXX,mobile,Pr Wireless#comma Inc. Dba Open Mobile
PR,82,1939339XXXX,mobile,Suncom Dba T-mobile Usa
PR,82,1939350XXXX,mobile,Pr Wireless#comma Inc. Dba Open Mobile
PR,82,1939358XXXX,mobile,Pr Wireless#comma Inc. Dba Open Mobile
PR,82,1939389XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,82,1939394XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,82,1939397XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,81,1939307XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,81,1939325XXXX,mobile,Suncom Dba T-mobile Usa
PR,82,1939334XXXX,mobile,Puerto Rico Telco Dba Verizon Wireless Puerto Rico
PR,82,1939329XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,49,1787698XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,49,1787697XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,49,1787693XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,49,1787696XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,49,1787695XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,48,1787687XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,48,1787686XXXX,mobile,Centennial Puerto Rico Operations Corp. - Pr
PR,48,1787689XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,48,1787688XXXX,mobile,Sprint Spectrum L.p.
PR,48,1787685XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
PR,48,1787690XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,49,1787692XXXX,mobile,Centennial Puerto Rico Operations Corp.
PR,48,1787691XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
