Country,Page,Range,Type,Provider
PW,2,680770XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680771XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680772XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680773XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680774XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680654XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,2,680679XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,1,680,proper,
PW,3,680775XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,1,680255XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,3,680776XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680733XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,3,680777XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,2,680747XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,1,680255XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,2,680762XXXX,internetserviceprovider,
PW,3,680824XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,3,680778XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,1,680277XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,3,680779XXXX,mobile,Palau National Communication Corporation Wireless (Palau Cel)
PW,1,680345XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,3,680880XXXX,mobile,Palau Equipment Company Inc (PalauTel)
PW,3,680881XXXX,mobile,Palau Equipment Company Inc (PalauTel)
PW,3,680855XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,4,680882XXXX,mobile,Palau Equipment Company Inc (PalauTel)
PW,4,680883XXXX,mobile,Palau Equipment Company Inc (PalauTel)
PW,1,680488XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,4,680884XXXX,mobile,Palau Equipment Company Inc (PalauTel)
PW,3,680876XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,1,680535XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,1,680544XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,1,680587XXXX,geographic,Palau National Communication Corporation (PNCC)
PW,1,680622XXXX,geographic,Palau National Communication Corporation (PNCC)
