Country,Page,Range,Type,Provider
PY,13,+595549XXXXXX,geographic,
PY,13,+595550XXXXXX,geographic,
PY,10,+595529XXXXXX,geographic,
PY,13,+595552XXXXXX,geographic,
PY,1,595,proper,
PY,12,+595544XXXXXX,geographic,
PY,10,+595531XXXXXX,geographic,
PY,13,+595553XXXXXX,geographic,
PY,10,+595532XXXXXX,geographic,
PY,12,+595544XXXXXX,geographic,
PY,11,+595539XXXXXX,geographic,
PY,17,+595677XXXXXX,geographic,
PY,1,+59521XXXXXX(X),geographic,
PY,13,+595554XXXXXX,geographic,
PY,10,+595533XXXXXX,geographic,
PY,11,+595541XXXXXX,geographic,
PY,12,+595544XXXXXX,geographic,
PY,1,+59521XXXXXX(X),geographic,
PY,10,+595534XXXXXX,geographic,
PY,17,+595677XXXXXX,geographic,
PY,11,+595542XXXXXX,geographic,
PY,12,+595544XXXXXX,geographic,
PY,16,+595676XXXXXX,geographic,
PY,18,+59571XXXXXX(X),geographic,
PY,13,+59561XXXXXX(X),geographic,
PY,17,+595677XXXXXX,geographic,
PY,10,+595535XXXXXX,geographic,
PY,2,+59521XXXXXX(X),geographic,
PY,15,+595671XXXXXX,geographic,
PY,11,+5955428XXXXX,geographic,
PY,16,+595677XXXXXX,geographic,
PY,13,+59561XXXXXX(X),geographic,
PY,17,+595678XXXXXX,geographic,
PY,1,+59521XXXXXX(X),geographic,
PY,18,+59571XXXXXX(X),geographic,
PY,12,+595544XXXXXX,geographic,
PY,1,+59521XXXXXX(X),geographic,
PY,2,+59521XXXXXX(X),geographic,
PY,15,+595671XXXXXX,geographic,
PY,17,+595678XXXXXX,geographic,
PY,20,+595768XXXXXX,geographic,
PY,1,+59521XXXXXX(X),geographic,
PY,14,+59561XXXXXX(X),geographic,
PY,11,+595544XXXXXX,geographic,
PY,18,+595717XXXXXX,geographic,
PY,8,+595516XXXXXX,geographic,
PY,10,+595536XXXXXX,geographic,
PY,2,+59521XXXXXX(X),geographic,
