Country,Page,Range,Type,Provider
PY,25,5959836XXXXX,mobile,Telecel / Tigo
PY,24,5959812XXXXX,mobile,Telecel / Tigo
PY,24,5959813XXXXX,mobile,Telecel / Tigo
PY,24,5959811XXXXX,mobile,Telecel / Tigo
PY,24,5959818XXXXX,mobile,Telecel / Tigo
PY,25,5959819XXXXX,mobile,Telecel / Tigo
PY,24,5959814XXXXX,mobile,Telecel / Tigo
PY,24,5959815XXXXX,mobile,Telecel / Tigo
PY,25,5959857XXXXX,mobile,Telecel / Tigo
PY,25,5959953XXXXX,mobile,Claro
PY,25,5959932XXXXX,mobile,Claro
PY,25,5959917XXXXX,mobile,Claro
PY,25,5959914XXXXX,mobile,Claro
PY,23,5959616XXXXX,mobile,VOX
PY,23,5959617XXXXX,mobile,VOX
PY,23,59597XXXXXXX,mobile,Personal
