Country,Page,Range,Type,Provider
QN,1,882,proper,
QN,1,+88211XXXXXXXXX,mobile,United Nations Secretariat
QN,1,+88212XXXXXXXXX,mobile,United Nations Secretariat
QN,1,+88213XXXXXXXXX,mobile,United Nations Secretariat
QN,1,+88214XXXXXXXXX,mobile,United Nations Office
QN,1,+8822XXXXXXXXXX,mobile,United Nations Department of Peacekeeping Operations (DPKO)
QN,1,+88231XXXXXXXXX,mobile,Economic Commission for Africa (ECA)
QN,1,+88232XXXXXXXXX,mobile,Economic Commission for Latin America and the Caribbean (ECLAC)
QN,1,+88233XXXXXXXXX,mobile,Economic and Social Commission for Western Asia (ESCWA)
QN,1,+88234XXXXXXXXX,mobile,Economic and Social Commission for Asia and the Pacific (ESCAP)
QN,2,+88241XXXXXXXXX,mobile,United Nations Development Programme (UNDP)
QN,2,+88242XXXXXXXXX,mobile,United Nations International Children's Emergency Fund (UNICEF)
QN,2,+88243XXXXXXXXX,mobile,World Food Programme (WFP)
QN,2,+88244XXXXXXXXX,mobile,United Nations High Commissioner for Refugees (UNHCR)
QN,2,+88245XXXXXXXXX,mobile,Office for the Coordination of Humanitarian Affairs (OCHA)
QN,2,+88246XXXXXXXXX,mobile,World Health Organization (WHO)
