Country,Page,Range,Type,Provider
QS,1,870,proper,
QS,2,87038XXXXXXX,satellite,Inmarsat-B
QS,1,8701XXXXXXXX,satellite,Inmarsat-A
QS,1,87030XXXXXXX,satellite,Inmarsat-B
QS,1,87031XXXXXXX,satellite,Inmarsat-B
QS,3,87067XXXXXXX,satellite,Inmarsat-M
QS,2,87039XXXXXXX,satellite,Inmarsat-B High Speed Data
QS,3,87068XXXXXXX,satellite,Inmarsat-M
QS,2,8705XXXXXXXX,satellite,Inmarsat-Aero
QS,1,87032XXXXXXX,satellite,Inmarsat-B
QS,3,87069XXXXXXX,satellite,Inmarsat-M
QS,1,87033XXXXXXX,satellite,Inmarsat-B
QS,2,87060XXXXXXX,satellite,Inmarsat-M High Speed Data
QS,2,87061XXXXXXX,satellite,Inmarsat-M
QS,3,87076XXXXXXX,satellite,Inmarsat-Mini
QS,1,87034XXXXXXX,satellite,Inmarsat-B
QS,2,87062XXXXXXX,satellite,Inmarsat-M
QS,1,87035XXXXXXX,satellite,Inmarsat-B
QS,2,87063XXXXXXX,satellite,Inmarsat-M
QS,3,87077XXXXXXX,satellite,Inmarsat BGAN
QS,2,87064XXXXXXX,satellite,Inmarsat-M
QS,3,87078XXXXXXX,satellite,Inmarsat BGAN
QS,1,87036XXXXXXX,satellite,Inmarsat-B
QS,1,87037XXXXXXX,satellite,Inmarsat-B
QS,2,87065XXXXXXX,satellite,Inmarsat-M
QS,2,87066XXXXXXX,satellite,Inmarsat-M
