Country,Page,Range,Type,Provider
RS,2,38115XXXXX(X),geographic,Telekom Srbija a.d.
RS,6,38137XXXXX(X),geographic,Telekom Srbija a.d.
RS,1,381,proper,
RS,6,38137XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38115XXXXX(X),geographic,Telekom Srbija a.d.
RS,1,38110XXXXX(X),geographic,Telekom Srbija a.d.
RS,6,38142XXXXXX,premiumrate,Telekom Srbija a.d.
RS,2,38116XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,38120XXXXX(X),geographic,Telekom Srbija a.d.
RS,1,38110XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38116XXXXX(X),geographic,Telekom Srbija a.d.
RS,1,38111XXXXXX(X),geographic,Telekom Srbija a.d.
RS,8,38170XXXXXX,universalaccess,Telekom Srbija a.d.
RS,4,38124XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,38121XXXXXX(X),geographic,Telekom Srbija a.d.
RS,9,3818005XXXX,freephone,Telenor d.o.o.
RS,6,38160XXX(XXXX),mobile,Vip mobile d.o.o.
RS,6,38161XXX(XXXX),mobile,Vip mobile d.o.o.
RS,1,38112XXXXX(X),geographic,Telekom Srbija a.d.
RS,8,38172XXXXXX,internetserviceprovider,
RS,2,38117XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,38121XXXXXX(X),geographic,Telekom Srbija a.d.
RS,5,38131XXXXXX,geographic,Telekom Srbija a.d.
RS,6,38162XXX(XXXX),mobile,Telenor d.o.o.
RS,6,38163XXX(XXXX),mobile,Telenor d.o.o.
RS,9,381808XXXXX,payphone,Telekom Srbija a.d.
RS,4,38125XXXXX(X),geographic,Telekom Srbija a.d.
RS,7,38164XX(XXXX),mobile,Telekom Srbija a.d.
RS,7,38165XX(XXXX),mobile,Telekom Srbija a.d.
RS,1,38112XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38117XXXXX(X),geographic,Telekom Srbija a.d.
RS,7,38166XXX(XXX),mobile,Telekom Srbija a.d.
RS,7,38168XXX(XXXX),mobile,Vip mobile d.o.o.
RS,7,38169XXX(XXXX),mobile,Telenor d.o.o.
RS,8,38178XXXXXX,premiumrate,Telekom Srbija a.d.
RS,3,38122XXXXX(X),geographic,Telekom Srbija a.d.
RS,9,3819XXXXXXX,premiumrate,Telekom Srbija a.d.
RS,1,38113XXXXX(X),geographic,Telekom Srbija a.d.
RS,5,38132XXXXX(X),geographic,Telekom Srbija a.d.
RS,4,38125XXXXX(X),geographic,Telekom Srbija a.d.
RS,8,381800XXXXX,freephone,
RS,4,38126XXXXXX,geographic,Telekom Srbija a.d.
RS,1,38113XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,38122XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38118XXXXX(X),geographic,Telekom Srbija a.d.
RS,1,38114XXXXX(X),geographic,Telekom Srbija a.d.
RS,5,38132XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,38123XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38118XXXXX(X),geographic,Telekom Srbija a.d.
RS,4,38126XXXXXX,geographic,Telekom Srbija a.d.
RS,5,38133XXXXX(X),geographic,Telekom Srbija a.d.
RS,8,3818000XXXX,freephone,Telekom Srbija a.d.
RS,1,38114XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38119XXXXX(X),geographic,Telekom Srbija a.d.
RS,4,38127XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,38123XXXXX(X),geographic,Telekom Srbija a.d.
RS,2,38119XXXXX(X),geographic,Telekom Srbija a.d.
RS,5,38134XXXXX(X),geographic,Telekom Srbija a.d.
RS,8,3818001XXXX,freephone,Telekom Srbija a.d.
RS,4,38127XXXXX(X),geographic,Telekom Srbija a.d.
RS,5,38134XXXXX(X),geographic,Telekom Srbija a.d.
RS,3,381230XXXX(X),geographic,Telekom Srbija a.d.
RS,3,381230XXXX(X),geographic,Telekom Srbija a.d.
RS,5,38135XXXXXX,geographic,Telekom Srbija a.d.
RS,4,38130XXXXX(X),geographic,Telekom Srbija a.d.
RS,8,3818002XXXX,freephone,Telekom Srbija a.d.
RS,3,38124XXXXX(X),geographic,Telekom Srbija a.d.
RS,8,3818003XXXX,freephone,Telekom Srbija a.d.
RS,5,38135XXXXXX,geographic,Telekom Srbija a.d.
RS,4,38130XXXXX(X),geographic,Telekom Srbija a.d.
RS,4,38131XXXXXX,geographic,Telekom Srbija a.d.
RS,8,3818004XXXX,freephone,PTT Srbija
RS,5,38136XXXXX(X),geographic,Telekom Srbija a.d.
RS,5,38136XXXXX(X),geographic,Telekom Srbija a.d.
