Country,Page,Range,Type,Provider
RS,6,38160XXXXXX,mobile,Vip mobile d.o.o.
RS,6,38162XXXXXX,mobile,Telenor d.o.o.
RS,6,38161XXXXXX,mobile,Vip mobile d.o.o.
RS,7,38164XXXXXX,mobile,Telekom Srbija a.d.
RS,6,38163XXXXXX,mobile,Telenor d.o.o.
RS,7,38166XXXXXX,mobile,Telekom Srbija a.d.
RS,7,38165XXXXXX,mobile,Telekom Srbija a.d.
RS,7,38168XXXXXX,mobile,Vip mobile d.o.o.
RS,7,38169XXXXXX,mobile,Telenor d.o.o.
RS,6,38160XXXXXXX,mobile,Vip mobile d.o.o.
RS,6,38162XXXXXXX,mobile,Telenor d.o.o.
RS,6,38161XXXXXXX,mobile,Vip mobile d.o.o.
RS,6,38163XXXXXXX,mobile,Telenor d.o.o.
RS,7,38168XXXXXXX,mobile,Vip mobile d.o.o.
RS,7,38169XXXXXXX,mobile,Telenor d.o.o.
