Country,Page,Range,Type,Provider
RU,70,+7901000XXXX,mobile,Rostov Cellular Telephone
RU,70,+7901100XXXX,mobile,Krasnodar Cellular Communications
RU,70,+7901101XXXX,mobile,Krasnodar Cellular Communications
RU,70,+7901104XXXX,mobile,Kabardino-Balkerskaya Cellular Communications
RU,10,+736569XXXXX,geographic,
RU,70,+7901105XXXX,mobile,Cherkesskaya Cellular Communications
RU,70,+7901106XXXX,mobile,Rostov Cellular Telephone
RU,70,+7901108XXXX,mobile,Mobile Cellular Communications of Stavropol
RU,70,+7901110XXXX,mobile,Omsk Cellular Communications
RU,71,+7901112XXXX,mobile,South-Siberia Cellular Communications
RU,71,+7901116XXXX,mobile,Kuzbass Cellular Communications
RU,71,+7901120XXXX,mobile,Tomsktelecom
RU,71,+7901127XXXX,mobile,Mordovia Cellular Communications
RU,71,+7901129XXXX,mobile,Kuzbass Cellular Communications
RU,71,+7901130XXXX,mobile,Khabarovsk Cellular Telephone
RU,10,+7370XXXXXXX,geographic,
RU,71,+7901131XXXX,mobile,Amur Cellular Telephone
RU,71,+7901132XXXX,mobile,Byrobidjan Cellular Communications
RU,71,+7901134XXXX,mobile,Primtelefon
RU,71,+7901135XXXX,mobile,Khabarovsk Cellular Telephone
RU,72,+7901137XXXX,mobile,Khabarovsk Cellular Telephone
RU,72,+7901138XXXX,mobile,Primtelefon
RU,72,+7901139XXXX,mobile,Arctic Region Communications
RU,10,+7381XXXXXXX,geographic,
RU,72,+7901140XXXX,mobile,Samara Radiotelephone (Branch of Svyazinform)
RU,72,+7901144XXXX,mobile,Sotel-Astrakhan
RU,72,+7901147XXXX,mobile,Ulyanovsk Cellular Communications
RU,72,+7901149XXXX,mobile,Uralwestcom
RU,72,+7901150XXXX,mobile,Uralwestcom
RU,72,+7901152XXXX,mobile,Cellular Communications of Bashkortostan
RU,72,+7901157XXXX,mobile,Udmurtia Cellular Networks -450
RU,10,+73812XXXXXX,geographic,
RU,73,+7901158XXXX,mobile,APEKS
RU,73,+7901159XXXX,mobile,Regional Technical Centre
RU,73,+7901160XXXX,mobile,Regional Technical Centre
RU,73,+7901165XXXX,mobile,Cherepovets Cellular Communications
RU,73,+7901166XXXX,mobile,Artelecom
RU,73,+7901169XXXX,mobile,Vologda Cellular Communications
RU,73,+790118XXXXX,mobile,Moscow Cellular Communications
RU,73,+7901191XXXX,mobile,Bryansk Cellular Networks
RU,73,+7901192XXXX,mobile,VladTelecom
RU,10,+7382XXXXXXX,geographic,
RU,73,+7901194XXXX,mobile,Yartelecom
RU,74,+7901197XXXX,mobile,Yartelecom
RU,74,+7901198XXXX,mobile,Tula Cellular Radiotelephone Communications
RU,74,+7901199XXXX,mobile,Yartelecom
RU,74,+7901201XXXX,mobile,Uralwestcom
RU,74,+7901210XXXX,mobile,Uralwestcom
RU,10,+73822XXXXXX,geographic,
RU,74,+7901220XXXX,mobile,Uralwestcom
RU,74,+7901230XXXX,mobile,Uralwestcom
RU,74,+7901240XXXX,mobile,EniseyTeleCom
RU,74,+7901241XXXX,mobile,EniseyTeleCom
RU,74,+7901250XXXX,mobile,APEKS
RU,75,+7901251XXXX,mobile,APEKS
RU,10,+7383XXXXXXX,geographic,
RU,75,+7901260XXXX,mobile,Regional Technical Centre
RU,75,+7901261XXXX,mobile,Regional Technical Centre
RU,75,+7901262XXXX,mobile,Omsk Cellular Communications
RU,75,+7901263XXXX,mobile,Omsk Cellular Communications
RU,75,+7901265XXXX,mobile,Uralsvyazinform
RU,75,+7901266XXXX,mobile,Uralsvyazinform
RU,75,+7901267XXXX,mobile,Uralsvyazinform
RU,75,+7901268XXXX,mobile,Uralsvyazinform
RU,75,+7901269XXXX,mobile,Uralsvyazinform
RU,76,+790130XXXXX,mobile,Delta Telecom
RU,76,+790131XXXXX,mobile,Delta Telecom
RU,76,+790132XXXXX,mobile,Delta Telecom
RU,76,+790137XXXXX,mobile,Delta Telecom
RU,76,+790140XXXXX,mobile,Moscow Cellular Communications
RU,11,+73843XXXXXX,geographic,
RU,76,+7901410XXXX,mobile,Udmurtia Cellular Networks -450
RU,76,+7901411XXXX,mobile,Kuzbass Cellular Communications
RU,76,+7901412XXXX,mobile,Udmurtia Cellular Networks -450
RU,76,+7901414XXXX,mobile,Uralwestcom
RU,76,+7901415XXXX,mobile,Cellular Communications of Bashkortostan
RU,77,+7901416XXXX,mobile,Cellular Communications of Bashkortostan
RU,77,+7901417XXXX,mobile,Sotel-Nizhny Novgorod
RU,10,+73832XXXXXX,geographic,
