Country,Page,Range,Type,Provider
SA,12,9668111XXXXXX,mobile,Etihad Atheeb Telecom Company (Go)
SA,11,966572XXXXXX,mobile,Virgin Mobile Saudi consortium LLC
SA,10,966570XXXXXX,mobile,Virgin Mobile Saudi consortium LLC
SA,10,966571XXXXXX,mobile,Virgin Mobile Saudi consortium LLC
SA,11,966576XXXXXX,mobile,Etihad Etisalat Company (Mobily)
SA,11,966577XXXXXX,mobile,Etihad Etisalat Company (Mobily)
SA,11,966578XXXXXX,mobile,Etihad Etisalat Company (Mobily)
SA,11,96658XXXXXXX,mobile,ZAIN
SA,11,96659XXXXXXX,mobile,ZAIN
SA,10,96653XXXXXXX,mobile,Saudi Telecom Company (STC)
SA,10,96654XXXXXXX,mobile,Etihad Etisalat Company (Mobily)
SA,10,96655XXXXXXX,mobile,Saudi Telecom Company (STC)
SA,10,96656XXXXXXX,mobile,Etihad Etisalat Company (Mobily)
SA,10,96650XXXXXXX,mobile,Saudi Telecom Company (STC)
SA,10,96651XXXXXXX,mobile,PTC (iDEN)
