Country,Page,Range,Type,Provider
SB,7,67748XXX,mobile,Solomon Telekom Company Ltd (BREEZE)
SB,8,67770XXXXX,mobile,SATSOL Ltd
SB,8,67771XXXXX,mobile,SATSOL Ltd
SB,8,677730XXXX,mobile,Solomon Telekom Company Ltd (BREEZE)
SB,9,6777400XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777401XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777402XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777403XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777404XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777405XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777406XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777407XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,6777408XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,9,67774XXXXX,mobile,Solomon Telekom Company Ltd (BREEZE)
SB,1,677,proper,
SB,10,6777409XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777410XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777411XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777412XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777413XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777414XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777415XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,1,67713XXX,freephone,
SB,10,6777416XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777417XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,10,6777418XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,6777419XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,677742XXXX,mobile,Solomon Telekom Company Ltd (BREEZE)
SB,11,677743XXXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,6777442XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,6777444XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,6777445XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,6777446XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,67774470XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,67774471XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774472XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,1,67714XXX,geographic,Solomon Telekom Company Ltd
SB,12,67774473XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774474XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774475XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774476XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774477XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774478XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774479XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,6777449XXX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,12,67774521XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,67774522XX,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745230X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745231X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745232X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745233X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745234X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745235X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745236X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,11,6777443XXX,payphone,Solomon Telekom Company Ltd (BREEZE)
SB,13,677745237X,mobile,Solomon Telekom Company Ltd (BREEZE) (prepaid)
SB,13,677745238X,mobile,Solomon Telekom Company Ltd (BREEZE)
