Country,Page,Range,Type,Provider
SC,3,2482559XXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,2,2482557XXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,2,2482558XXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,2,2482556XXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,6,2482788XXX,mobile,Airtel (Seychelles) Ltd
SC,6,2482789XXX,mobile,Airtel (Seychelles) Ltd
SC,5,2482782XXX,mobile,Airtel (Seychelles) Ltd
SC,5,2482786XXX,mobile,Airtel (Seychelles) Ltd
SC,6,2482787XXX,mobile,Airtel (Seychelles) Ltd
SC,5,2482784XXX,mobile,Airtel (Seychelles) Ltd
SC,5,2482785XXX,mobile,Airtel (Seychelles) Ltd
SC,7,248286XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248285XXXX,mobile,Airtel (Seychelles) Ltd
SC,7,248288XXXX,mobile,Airtel (Seychelles) Ltd
SC,7,248287XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248282XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248281XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248284XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248283XXXX,mobile,Airtel (Seychelles) Ltd
SC,7,248289XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248280XXXX,mobile,Airtel (Seychelles) Ltd
SC,5,248275XXXX,mobile,Airtel (Seychelles) Ltd
SC,4,248274XXXX,mobile,Airtel (Seychelles) Ltd
SC,5,248277XXXX,mobile,Airtel (Seychelles) Ltd (prepaid)
SC,5,248276XXXX,mobile,Airtel (Seychelles) Ltd (prepaid)
SC,4,248271XXXX,mobile,Airtel (Seychelles) Ltd
SC,4,248270XXXX,mobile,Airtel (Seychelles) Ltd
SC,4,248273XXXX,mobile,Airtel (Seychelles) Ltd
SC,4,248272XXXX,mobile,Airtel (Seychelles) Ltd
SC,6,248279XXXX,mobile,Airtel (Seychelles) Ltd (prepaid)
SC,3,248264XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,3,248263XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,4,248266XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,4,248265XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,3,248260XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,3,248262XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,3,248261XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,4,248268XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,4,248267XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,4,248269XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,1,248253XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,1,248252XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,1,248254XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,1,248251XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,1,248250XXXX,mobile,Cable & Wireless (Seychelles) Ltd
SC,3,248257XXXX,mobile,Cable & Wireless (Seychelles) Ltd (prepaid)
SC,3,248256XXXX,mobile,Cable & Wireless (Seychelles) Ltd (prepaid)
SC,3,248259XXXX,mobile,Cable & Wireless (Seychelles) Ltd (prepaid)
SC,3,248258XXXX,mobile,Cable & Wireless (Seychelles) Ltd (prepaid)
