Country,Page,Range,Type,Provider
SD,101,249734XXXXXX,geographic,
SD,101,249734820XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249734821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249734822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249734830XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249737821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249735XXXXXX,geographic,
SD,104,249811821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249735822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,100,249731849XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249737822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,103,249741825XXX,geographic,Sudatel Telecommunications Group Ltd
SD,104,249811822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,100,24973186XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,103,249741826XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249738XXXXXX,geographic,
SD,100,249732XXXXXX,geographic,
SD,104,249811823XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249736XXXXXX,geographic,
SD,103,249742XXXXXX,geographic,
SD,102,249738822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,100,249732821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249736822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,105,249834822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,104,249831XXXXXX,geographic,
SD,105,249841XXXXXX,geographic,
SD,12,24912741XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,101,249737XXXXXX,geographic,
SD,103,249742822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249741XXXXXX,geographic,
SD,100,249732822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,12,24912742XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,105,249841821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,100,249732830XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249741820XXX,geographic,Sudatel Telecommunications Group Ltd
SD,12,24912743XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,105,249841822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,15,2491783XXXXX,satellite,Ministry
SD,102,249741821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,14,24912762XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,106,249912XXXXXX,mobile,Mobitel (ZAIN)
SD,12,24912744XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,103,249743XXXXXX,geographic,
SD,11,24912623XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,14,24912763XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,104,249831821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,19,249217830XXX,geographic,Sudatel Telecommunications Group Ltd
SD,100,249733XXXXXX,geographic,
SD,106,24991XXXXXXX,mobile,Mobitel (ZAIN)
SD,106,249922XXXXXX,mobile,MTN Sudan
SD,105,249843XXXXXX,geographic,
SD,15,2491784XXXXX,satellite,Sudatel Telecommunications Group Ltd
SD,12,24912745XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,10,24912563XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,100,249733820XXX,geographic,Sudatel Telecommunications Group Ltd
SD,19,249217831XXX,geographic,Sudatel Telecommunications Group Ltd
SD,104,249831822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,16,249211827XXX,geographic,Sudatel Telecommunications Group Ltd
SD,26,249261874XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249741822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,103,249743822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,15,249211XXXXXX,geographic,
SD,106,24992XXXXXXX,mobile,MTN Sudan
SD,104,249833XXXXXX,geographic,
SD,12,24912746XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,26,249261875XXX,geographic,Sudatel Telecommunications Group Ltd
SD,28,249272821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,17,24921186XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,14,24912764XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,10,24912565XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,105,249843822XXX,geographic,Sudatel Telecommunications Group Ltd
SD,11,249127XXXXXX,geographic,Sudatel Telecommunications Group Ltd
SD,21,249236XXXXXX,geographic,
SD,103,249745XXXXXX,geographic,
SD,106,24993XXXXXXX,mobile,MTN Sudan
SD,17,249212XXXXXX,geographic,
SD,26,249261876XXX,geographic,Sudatel Telecommunications Group Ltd
SD,16,249211828XXX,geographic,Sudatel Telecommunications Group Ltd
SD,30,249311827XXX,geographic,Sudatel Telecommunications Group Ltd
SD,104,249833821XXX,geographic,Sudatel Telecommunications Group Ltd
SD,102,249741823XXX,geographic,Sudatel Telecommunications Group Ltd
SD,10,24912566XXXX,geographic,Sudatel Telecommunications Group Ltd
SD,11,2491270XXXXX,virtualprivatenetwork,Sudatel Telecommunications Group Ltd
SD,15,249211820XXX,geographic,Sudatel Telecommunications Group Ltd
