Country,Page,Range,Type,Provider
SE,2301,+4669655XXX,geographic,TeliaSonera Sverige AB
SE,2301,+46696590XXX,geographic,Sting Networks AB
SE,2300,+4669634XXX,geographic,TeliaSonera Sverige AB
SE,2301,+46696599XXX,geographic,Verizon Sweden AB
SE,2301,+4669660XXX,geographic,TeliaSonera Sverige AB
SE,2300,+4669638XXX,geographic,TeliaSonera Sverige AB
SE,2304,+4669672XXX,geographic,TeliaSonera Sverige AB
SE,2300,+4669639XXX,geographic,TeliaSonera Sverige AB
SE,2302,+46696659XXX,geographic,Telenor Sverige AB
SE,2304,+4669673XXXX,geographic,B2 Bredband AB
SE,2302,+46696680XXX,geographic,TeliaSonera Sverige AB
SE,2301,+4669661XXX,geographic,TeliaSonera Sverige AB
SE,2303,+466966836XX,geographic,Voxbone SA
SE,2300,+4669640XXX,geographic,TeliaSonera Sverige AB
SE,2300,+4669642XXX,geographic,TeliaSonera Sverige AB
SE,2304,+4669674XXXX,geographic,B2 Bredband AB
SE,2303,+466966850XX,geographic,TeliaSonera Sverige AB
SE,2301,+4669662XXX,geographic,TeliaSonera Sverige AB
SE,2305,+467000XXXXX,mobile,Tele2 Sverige AB
SE,2302,+46696681XXX,geographic,TeliaSonera Sverige AB
SE,2300,+4669643XXX,geographic,TeliaSonera Sverige AB
SE,2304,+4669675XXXX,geographic,TDC Sverige AB
SE,2303,+466966851XX,geographic,TeliaSonera Sverige AB
SE,2305,+467001XXXXX,mobile,Tele2 Sverige AB
SE,2302,+46696682XXX,geographic,TeliaSonera Sverige AB
SE,2304,+4669676XXXX,geographic,Tele2 Sverige AB
SE,2303,+466966852XX,geographic,TeliaSonera Sverige AB
SE,2301,+46696652XXX,geographic,Bredband 2 AB -9679
SE,2304,+46696770XXX,geographic,GÃ¶talandsnÃ¤tet AB
SE,2303,+466966853XX,geographic,TeliaSonera Sverige AB
SE,2300,+4669650XXX,geographic,TeliaSonera Sverige AB
SE,2302,+466966830XX,geographic,TeliaSonera Sverige AB
SE,2301,+46696653XXX,geographic,TelaVox AB
SE,2303,+466966854XX,geographic,TeliaSonera Sverige AB
SE,2300,+4669651XXX,geographic,TeliaSonera Sverige AB
SE,2305,+467002XXXXX,mobile,Tele2 Sverige AB
SE,2305,+467003XXXXX,mobile,Tele2 Sverige AB
SE,2304,+46696775XXX,geographic,Dataphone Scandinavia AB
SE,2305,+467004XXXXX,mobile,Tele2 Sverige AB
SE,2305,+467005XXXXX,mobile,Tele2 Sverige AB
SE,2302,+466966831XX,geographic,TeliaSonera Sverige AB
SE,2300,+4669652XXX,geographic,TeliaSonera Sverige AB
SE,2305,+467006XXXXX,mobile,Tele2 Sverige AB
SE,2302,+466966832XX,geographic,TeliaSonera Sverige AB
SE,2301,+46696657XXX,geographic,Telenor Sverige AB
SE,2305,+467007XXXXX,mobile,Tele2 Sverige AB
SE,2304,+46696799XXX,geographic,TDC Sverige AB
SE,2305,+467008XXXXX,mobile,Tele2 Sverige AB
SE,2303,+466966855XX,geographic,Rix Telecom AB
SE,2305,+467009XXXXX,mobile,Tele2 Sverige AB
SE,2306,+4670100XXXX,mobile,Spinbox AB
SE,2306,+4670101XXXX,mobile,Spinbox AB
SE,2306,+4670102XXXX,mobile,Spinbox AB
SE,2306,+4670103XXXX,mobile,Spinbox AB
SE,2306,+4670104XXXX,mobile,Spinbox AB
SE,2302,+466966833XX,geographic,TeliaSonera Sverige AB
SE,2300,+4669653XXX,geographic,TeliaSonera Sverige AB
SE,2301,+46696658XXX,geographic,Telenor Sverige AB
SE,2303,+466966856XX,geographic,Telecom3 Sverige AB
SE,2306,+4670105XXXX,mobile,Spinbox AB
SE,2304,+4669680XXX,geographic,TeliaSonera Sverige AB
SE,2306,+4670106XXXX,mobile,Spinbox AB
SE,2306,+4670107XXXX,mobile,Spinbox AB
SE,2306,+4670108XXXX,mobile,Spinbox AB
SE,2306,+4670109XXXX,mobile,Spinbox AB
SE,2307,+4670110XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670111XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670112XXXX,mobile,Glocalnet Scandinavia AB
SE,2302,+466966834XX,geographic,TeliaSonera Sverige AB
SE,2307,+4670113XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670114XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670115XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670116XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670117XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670118XXXX,mobile,Glocalnet Scandinavia AB
SE,2307,+4670119XXXX,mobile,Glocalnet Scandinavia AB
SE,2308,+4670120XXXX,mobile,Spinbox AB
SE,2308,+4670121XXXX,mobile,Spinbox AB
SE,2308,+4670122XXXX,mobile,Spinbox AB
SE,2308,+4670123XXXX,mobile,Spinbox AB
SE,2304,+4670XXXXXXX,mobile,
SE,2308,+4670124XXXX,mobile,Spinbox AB
