Country,Page,Range,Type,Provider
SG,74,658455XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658456XXXX,mobile,M1 Ltd (MobileOne)
SG,74,658453XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658454XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658451XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658452XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,73,658450XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658459XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658457XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,74,658458XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,75,658470XXXX,mobile,StarHub Pte Ltd
SG,75,658466XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658467XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658464XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658465XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658462XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658463XXXX,mobile,M1 Ltd (MobileOne)
SG,74,658460XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658461XXXX,mobile,M1 Ltd (MobileOne)
SG,75,658468XXXX,mobile,StarHub Pte Ltd
SG,75,658469XXXX,mobile,M1 Ltd (MobileOne)
SG,72,658433XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658434XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658431XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658432XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,71,658430XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658439XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658437XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658438XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658435XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,72,658436XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,73,658444XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658445XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658442XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658443XXXX,mobile,M1 Ltd (MobileOne)
SG,72,658440XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658441XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658448XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658449XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658446XXXX,mobile,M1 Ltd (MobileOne)
SG,73,658447XXXX,mobile,M1 Ltd (MobileOne)
SG,70,658411XXXX,mobile,Singapore Telecommunications Ltd (SingTel)
SG,70,658412XXXX,mobile,M1 Ltd (MobileOne)
SG,69,658410XXXX,mobile,M1 Ltd (MobileOne)
SG,70,658419XXXX,mobile,M1 Ltd (MobileOne)
SG,70,658417XXXX,mobile,M1 Ltd (MobileOne)
SG,70,658418XXXX,mobile,M1 Ltd (MobileOne)
