Country,Page,Range,Type,Provider
SI,109,38626873XXX,geographic,Telekom Slovenije d.d.
SI,109,3862688XXXX,geographic,Telekom Slovenije d.d.
SI,109,38627XXXXXX,geographic,Telekom Slovenije d.d.
SI,103,38626543XXX,geographic,Telekom Slovenije d.d.
SI,109,38627031XXX,geographic,Telekom Slovenije d.d.
SI,101,38626455XXX,geographic,Telekom Slovenije d.d.
SI,103,38626544XXX,geographic,Telekom Slovenije d.d.
SI,104,3862656XXXX,geographic,Telekom Slovenije d.d.
SI,109,38627032XXX,geographic,Telekom Slovenije d.d.
SI,102,38626476XXX,geographic,Telekom Slovenije d.d.
SI,107,38626821XXX,geographic,Telekom Slovenije d.d.
SI,104,3862661XXXX,geographic,Telekom Slovenije d.d.
SI,105,38626652XXX,geographic,Telekom Slovenije d.d.
SI,101,38626456XXX,geographic,Telekom Slovenije d.d.
SI,106,38626750XXX,geographic,Telekom Slovenije d.d.
SI,103,38626549XXX,geographic,Telekom Slovenije d.d.
SI,110,38627130XXX,geographic,Telekom Slovenije d.d.
SI,103,38626550XXX,geographic,Telekom Slovenije d.d.
SI,109,38627033XXX,geographic,Telekom Slovenije d.d.
SI,113,38627404XXX,geographic,Telekom Slovenije d.d.
SI,105,38626653XXX,geographic,Telekom Slovenije d.d.
SI,104,3862662XXXX,geographic,Telekom Slovenije d.d.
SI,100,38626300XXX,geographic,Telekom Slovenije d.d.
SI,108,38626851XXX,geographic,Telekom Slovenije d.d.
SI,102,38626477XXX,geographic,Telekom Slovenije d.d.
SI,103,38626551XXX,geographic,Telekom Slovenije d.d.
SI,106,38626751XXX,geographic,Telekom Slovenije d.d.
SI,107,38626822XXX,geographic,Telekom Slovenije d.d.
SI,117,38627532XXX,geographic,Telekom Slovenije d.d.
SI,101,38626457XXX,geographic,Telekom Slovenije d.d.
SI,112,38627207XXX,geographic,Telekom Slovenije d.d.
SI,105,38626688XXX,geographic,Telekom Slovenije d.d.
SI,102,38626480XXX,geographic,Telekom Slovenije d.d.
SI,108,38626852XXX,geographic,Telekom Slovenije d.d.
SI,107,38626823XXX,geographic,Telekom Slovenije d.d.
SI,109,38627034XXX,geographic,Telekom Slovenije d.d.
SI,103,38626552XXX,geographic,Telekom Slovenije d.d.
SI,113,38627407XXX,geographic,Telekom Slovenije d.d.
SI,116,38627494XXX,geographic,Telekom Slovenije d.d.
SI,105,38626689XXX,geographic,Telekom Slovenije d.d.
SI,106,38626752XXX,geographic,Telekom Slovenije d.d.
SI,117,38627533XXX,geographic,Telekom Slovenije d.d.
SI,100,3862640XXXX,geographic,Telekom Slovenije d.d.
SI,108,38626853XXX,geographic,Telekom Slovenije d.d.
SI,107,38626824XXX,geographic,Telekom Slovenije d.d.
SI,112,38627208XXX,geographic,Telekom Slovenije d.d.
SI,110,38627132XXX,geographic,Telekom Slovenije d.d.
SI,109,38627035XXX,geographic,Telekom Slovenije d.d.
SI,113,38627408XXX,geographic,Telekom Slovenije d.d.
SI,109,38627036XXX,geographic,Telekom Slovenije d.d.
SI,123,38627807XXX,geographic,Telekom Slovenije d.d.
SI,106,38626753XXX,geographic,Telekom Slovenije d.d.
SI,103,38626553XXX,geographic,Telekom Slovenije d.d.
SI,108,38626854XXX,geographic,Telekom Slovenije d.d.
SI,101,38626459XXX,geographic,Telekom Slovenije d.d.
SI,117,38627534XXX,geographic,Telekom Slovenije d.d.
SI,104,38626630XXX,geographic,Telekom Slovenije d.d.
SI,102,38626500XXX,geographic,Telekom Slovenije d.d.
SI,119,38627631XXX,geographic,Telekom Slovenije d.d.
SI,123,38627809XXX,geographic,Telekom Slovenije d.d.
SI,109,3862707XXXX,geographic,Mega M d.o.o.
SI,103,38626554XXX,geographic,Telekom Slovenije d.d.
SI,106,38626754XXX,geographic,Telekom Slovenije d.d.
SI,116,38627495XXX,geographic,Telekom Slovenije d.d.
SI,113,38627409XXX,geographic,Telekom Slovenije d.d.
SI,102,38626505XXX,geographic,Telekom Slovenije d.d.
SI,119,38627632XXX,geographic,Telekom Slovenije d.d.
SI,108,38626855XXX,geographic,Telekom Slovenije d.d.
SI,100,38626410XXX,geographic,Telekom Slovenije d.d.
SI,104,38626631XXX,geographic,Telekom Slovenije d.d.
SI,105,38626690XXX,geographic,Telekom Slovenije d.d.
SI,124,3862783XXXX,geographic,Telekom Slovenije d.d.
SI,101,38626470XXX,geographic,Telekom Slovenije d.d.
SI,10,38613070XXX,geographic,Telekom Slovenije d.d.
SI,117,38627535XXX,geographic,Telekom Slovenije d.d.
SI,120,38627684XXX,geographic,Telekom Slovenije d.d.
SI,107,38626825XXX,geographic,Telekom Slovenije d.d.
SI,123,38627810XXX,geographic,Telekom Slovenije d.d.
SI,110,38627133XXX,geographic,Telekom Slovenije d.d.
SI,116,38627510XXX,geographic,Telekom Slovenije d.d.
SI,119,38627633XXX,geographic,Telekom Slovenije d.d.
SI,115,38627466XXX,geographic,Telekom Slovenije d.d.
SI,103,38626555XXX,geographic,Telekom Slovenije d.d.
SI,10,38613072XXX,geographic,Telekom Slovenije d.d.
SI,113,38627410XXX,geographic,Telekom Slovenije d.d.
SI,101,38626471XXX,geographic,Telekom Slovenije d.d.
SI,112,38627290XXX,geographic,Telekom Slovenije d.d.
SI,114,38627431XXX,geographic,Telekom Slovenije d.d.
SI,11,38613083XXX,geographic,Telekom Slovenije d.d.
SI,104,38626632XXX,geographic,Telekom Slovenije d.d.
SI,102,38626506XXX,geographic,Telekom Slovenije d.d.
SI,108,38626861XXX,geographic,Telekom Slovenije d.d.
SI,106,38626755XXX,geographic,Telekom Slovenije d.d.
SI,120,38627685XXX,geographic,Telekom Slovenije d.d.
SI,123,38627811XXX,geographic,Telekom Slovenije d.d.
SI,110,38627134XXX,geographic,Telekom Slovenije d.d.
SI,124,38627870XXX,geographic,Telekom Slovenije d.d.
SI,117,38627536XXX,geographic,Telekom Slovenije d.d.
SI,10,38613073XXX,geographic,Telekom Slovenije d.d.
SI,11,38613084XXX,geographic,Telekom Slovenije d.d.
SI,102,3862651XXXX,geographic,Telekom Slovenije d.d.
SI,108,38626864XXX,geographic,Telekom Slovenije d.d.
SI,101,38626472XXX,geographic,Telekom Slovenije d.d.
SI,113,38627411XXX,geographic,Telekom Slovenije d.d.
SI,123,38627812XXX,geographic,Telekom Slovenije d.d.
SI,110,38627135XXX,geographic,Telekom Slovenije d.d.
SI,107,38626826XXX,geographic,Telekom Slovenije d.d.
SI,111,38627192XXX,geographic,Telekom Slovenije d.d.
SI,119,38627634XXX,geographic,Telekom Slovenije d.d.
SI,114,38627435XXX,geographic,Telekom Slovenije d.d.
SI,103,38626556XXX,geographic,Telekom Slovenije d.d.
SI,115,38627467XXX,geographic,Telekom Slovenije d.d.
SI,102,3862653XXXX,geographic,Telekom Slovenije d.d.
SI,112,38627291XXX,geographic,Telekom Slovenije d.d.
SI,110,38627136XXX,geographic,Telekom Slovenije d.d.
SI,125,38627881XXX,geographic,Telekom Slovenije d.d.
SI,100,38626411XXX,geographic,Telekom Slovenije d.d.
SI,123,38627813XXX,geographic,Telekom Slovenije d.d.
SI,121,3862771XXXX,geographic,Telekom Slovenije d.d.
SI,114,38627436XXX,geographic,Telekom Slovenije d.d.
SI,120,38627686XXX,geographic,Telekom Slovenije d.d.
SI,118,3862757XXXX,geographic,Telekom Slovenije d.d.
SI,105,3862671XXXX,geographic,Telekom Slovenije d.d.
SI,110,38627137XXX,geographic,Telekom Slovenije d.d.
SI,121,3862772XXXX,geographic,Telekom Slovenije d.d.
SI,113,38627415XXX,geographic,Telekom Slovenije d.d.
SI,125,38627882XXX,geographic,Telekom Slovenije d.d.
SI,10,38613076XXX,geographic,Telekom Slovenije d.d.
SI,104,38626633XXX,geographic,Telekom Slovenije d.d.
SI,102,38626540XXX,geographic,Telekom Slovenije d.d.
SI,11,38613085XXX,geographic,Telekom Slovenije d.d.
SI,101,38626473XXX,geographic,Telekom Slovenije d.d.
SI,116,38627511XXX,geographic,Telekom Slovenije d.d.
SI,126,38627902XXX,geographic,Telekom Slovenije d.d.
SI,106,38626756XXX,geographic,Telekom Slovenije d.d.
SI,123,38627814XXX,geographic,Telekom Slovenije d.d.
SI,124,38627871XXX,geographic,Telekom Slovenije d.d.
SI,108,38626870XXX,geographic,Telekom Slovenije d.d.
SI,118,38627580XXX,geographic,Telekom Slovenije d.d.
SI,120,38627687XXX,geographic,Telekom Slovenije d.d.
SI,117,38627537XXX,geographic,Telekom Slovenije d.d.
SI,111,38627194XXX,geographic,Telekom Slovenije d.d.
SI,100,38626412XXX,geographic,Telekom Slovenije d.d.
SI,12,38613095XXX,geographic,Telekom Slovenije d.d.
SI,105,38626730XXX,geographic,Telekom Slovenije d.d.
SI,107,38626827XXX,geographic,Telekom Slovenije d.d.
SI,119,3862764XXXX,geographic,Telekom Slovenije d.d.
SI,118,38627581XXX,geographic,Telekom Slovenije d.d.
SI,115,38627468XXX,geographic,Telekom Slovenije d.d.
SI,123,38627815XXX,geographic,Telekom Slovenije d.d.
SI,126,38627905XXX,geographic,Telekom Slovenije d.d.
SI,125,38627883XXX,geographic,Telekom Slovenije d.d.
SI,116,38627512XXX,geographic,Telekom Slovenije d.d.
SI,112,38627292XXX,geographic,Telekom Slovenije d.d.
SI,124,38627872XXX,geographic,Telekom Slovenije d.d.
SI,11,38613086XXX,geographic,Telekom Slovenije d.d.
SI,110,38627138XXX,geographic,Telekom Slovenije d.d.
SI,104,38626638XXX,geographic,Telekom Slovenije d.d.
SI,100,38626413XXX,geographic,Telekom Slovenije d.d.
SI,122,38627784XXX,geographic,Telekom Slovenije d.d.
SI,114,3862745XXXX,geographic,Telekom Slovenije d.d.
SI,113,38627416XXX,geographic,Telekom Slovenije d.d.
SI,117,38627540XXX,geographic,Telekom Slovenije d.d.
SI,127,38627930XXX,geographic,Telekom Slovenije d.d.
SI,105,38626731XXX,geographic,Telekom Slovenije d.d.
SI,10,38613077XXX,geographic,Telekom Slovenije d.d.
SI,116,38627513XXX,geographic,Telekom Slovenije d.d.
SI,123,38627817XXX,geographic,Telekom Slovenije d.d.
SI,107,38626828XXX,geographic,Telekom Slovenije d.d.
SI,125,38627884XXX,geographic,Telekom Slovenije d.d.
SI,124,38627875XXX,geographic,Telekom Slovenije d.d.
SI,108,38626871XXX,geographic,Telekom Slovenije d.d.
SI,126,38627907XXX,geographic,Telekom Slovenije d.d.
SI,122,38627785XXX,geographic,Telekom Slovenije d.d.
SI,129,38628028XXX,geographic,Telekom Slovenije d.d.
SI,104,38626650XXX,geographic,Telekom Slovenije d.d.
SI,101,38626474XXX,geographic,Telekom Slovenije d.d.
SI,111,38627195XXX,geographic,Telekom Slovenije d.d.
SI,118,38627582XXX,geographic,Telekom Slovenije d.d.
SI,113,38627417XXX,geographic,Telekom Slovenije d.d.
