Country,Page,Range,Type,Provider
SK,10,42143XXXXXXX,geographic,
SK,10,42143XXXXXXX,geographic,
SK,13,42153XXXXXXX,geographic,
SK,10,42143XXXXXXX,geographic,
SK,13,42154XXXXXXX,geographic,
SK,10,42143XXXXXXX,geographic,
SK,12,42148XXXXXXX,geographic,
SK,13,42154XXXXXXX,geographic,
SK,12,42151XXXXXXX,geographic,
SK,10,42144XXXXXXX,geographic,
SK,17,42186XXXXXXX,sharedcost,
SK,13,42154XXXXXXX,geographic,
SK,10,42144XXXXXXX,geographic,
SK,16,421695XXXXXX,VoIPtelephony,
SK,11,42145XXXXXXX,geographic,
SK,12,42151XXXXXXX,geographic,
SK,17,42187XXXXXXX,sharedcost,
SK,13,42154XXXXXXX,geographic,
SK,17,421901XXXXXX,mobile,T-Mobile
SK,11,42145XXXXXXX,geographic,
SK,10,42144XXXXXXX,geographic,
SK,16,421696XXXXXX,VoIPtelephony,
SK,1,421,proper,
SK,10,42145XXXXXXX,geographic,
SK,17,42188XXXXXXX,sharedcost,
SK,14,42156XXXXXXX,geographic,
SK,12,42152XXXXXXX,geographic,
SK,13,42155XXXXXXX,geographic,
SK,11,42146XXXXXXX,geographic,
SK,17,42189XXXXXXX,sharedcost,
SK,17,421902XXXXXX,mobile,T-Mobile
SK,17,421903XXXXXX,mobile,T-Mobile
SK,1,42119XX,internetserviceprovider,
SK,12,42152XXXXXXX,geographic,
SK,5,4211975,internetserviceprovider,Spišnet Computers      
SK,3,4211940,internetserviceprovider,Globaltel           
SK,13,42155XXXXXXX,geographic,
SK,14,42157XXXXXXX,geographic,
SK,17,421904XXXXXX,mobile,T-Mobile
SK,18,421905XXXXXX,mobile,Orange
SK,17,4219XXXXXXXX,mobile,
SK,15,421651XXXXXX,VoIPtelephony,
SK,1,4211900,internetserviceprovider,Usware
SK,16,421700XXXXXX,universalaccess,
SK,20,42196XXXXXXX,virtualprivatenetwork,
SK,12,42152XXXXXXX,geographic,
SK,10,42145XXXXXXX,geographic,
SK,3,4211942,internetserviceprovider,Etel Slovensko                 
SK,17,421900XXXXXX,premiumrate,
SK,11,42147XXXXXXX,geographic,
SK,8,42135XXXXXXX,geographic,
SK,2,4211916,internetserviceprovider,Nextra 
SK,18,421906XXXXXX,mobile,Orange
SK,16,421800XXXXXX,freephone,
SK,8,42135XXXXXXX,geographic,
SK,20,42197XXXXXXX,audiotext,
SK,14,42157XXXXXXX,geographic,
SK,5,4211977,internetserviceprovider,Gratex International
SK,11,42147XXXXXXX,geographic,
SK,15,421652XXXXXX,VoIPtelephony,
SK,18,4219090XXX,pager,Slovak Telekom#comma a.s.
SK,18,421907XXXXXX,mobile,Orange
SK,18,421908XXXXXX,mobile,Orange
SK,13,42156XXXXXXX,geographic,
SK,16,421806XXXXXX,premiumrate,
SK,12,42152XXXXXXX,geographic,
SK,10,42145XXXXXXX,geographic,
SK,1,4211901,internetserviceprovider,Orange Slovensko
SK,2,4211918,internetserviceprovider,Bentel
SK,3,4211943,internetserviceprovider,Pantel Slovensko             
SK,11,42147XXXXXXX,geographic,
SK,18,421910XXXXXX,mobile,T-Mobile
SK,18,421911XXXXXX,mobile,T-Mobile
SK,18,421912XXXXXX,mobile,T-Mobile
SK,1,4211910,internetserviceprovider,Euroweb   
SK,6,4211989,internetserviceprovider,Cdicon  
SK,5,4211978,internetserviceprovider,Kochman Info Systems 
SK,2,4211919,internetserviceprovider,St
SK,16,421807XXXXXX,premiumrate,
SK,8,42135XXXXXXX,geographic,
SK,15,421653XXXXXX,VoIPtelephony,
SK,18,421914XXXXXX,mobile,T-Mobile UMTS
SK,18,421915XXXXXX,mobile,Orange
SK,13,42156XXXXXXX,geographic,
SK,5,4211979,internetserviceprovider,Pronet Servis#comma S.R.O.
SK,3,4211944,internetserviceprovider,Globaltel           
SK,9,42138XXXXXXX,geographic,
SK,11,42147XXXXXXX,geographic,
SK,19,421916XXXXXX,mobile,Orange
SK,19,421917XXXXXX,mobile,Orange (UMTS)
SK,2,4211923,internetserviceprovider,Slovanet Bratislava   
SK,12,42152XXXXXXX,geographic,
SK,5,4211980,internetserviceprovider,Napri
SK,1,4211911,internetserviceprovider,(Viapvt) - Slovanet         
SK,20,421972XXXXXX,audiotext,Almea Com#comma s.r.o.
SK,19,421918XXXXXX,mobile,Orange
SK,2,4211924,internetserviceprovider,(Viapvt) - Slovanet
SK,3,4211945,internetserviceprovider,Inaros
SK,15,421654XXXXXX,VoIPtelephony,
SK,9,42141XXXXXXX,geographic,
SK,11,42147XXXXXXX,geographic,
SK,6,4211991,internetserviceprovider,Eurotel Prenos Dát                
SK,8,42136XXXXXXX,geographic,
SK,14,42157XXXXXXX,geographic,
SK,16,421808XXXXXX,premiumrate,
SK,5,4211982,internetserviceprovider,Kochman Infosyst     
SK,19,421919XXXXXX,mobile,Orange
SK,6,4211992,internetserviceprovider,Eurotel Prenos Dát                
SK,13,42156XXXXXXX,geographic,
SK,14,42157XXXXXXX,geographic,
SK,4,4211957,internetserviceprovider,Axon         
SK,11,42147XXXXXXX,geographic,
SK,12,42153XXXXXXX,geographic,
SK,15,421680XXXXXX,globaltitleaddress,
SK,1,4211912,internetserviceprovider,Euroweb      
SK,2,4211926,internetserviceprovider,Orange   
SK,5,4211983,internetserviceprovider,Ses Kredit                   
