Country,Page,Range,Type,Provider
SK,19,421959XXXXXX,mobile,Železnice Slovenskej republiky (GSM-R)
SK,19,421950XXXXXX,mobile,SWAN#comma a.s.
SK,19,421949XXXXXX,mobile,Telefónica O2
SK,19,421948XXXXXX,mobile,Telefónica O2
SK,19,421944XXXXXX,mobile,Telefónica O2
SK,19,421940XXXXXX,mobile,Telefónica O2
SK,19,421919XXXXXX,mobile,Orange
SK,19,421918XXXXXX,mobile,Orange
SK,19,421917XXXXXX,mobile,Orange (UMTS)
SK,19,421916XXXXXX,mobile,Orange
SK,18,421915XXXXXX,mobile,Orange
SK,18,421914XXXXXX,mobile,T-Mobile UMTS
SK,18,421912XXXXXX,mobile,T-Mobile
SK,18,421911XXXXXX,mobile,T-Mobile
SK,18,421910XXXXXX,mobile,T-Mobile
SK,18,421908XXXXXX,mobile,Orange
SK,18,421907XXXXXX,mobile,Orange
SK,18,421906XXXXXX,mobile,Orange
SK,18,421905XXXXXX,mobile,Orange
SK,17,421904XXXXXX,mobile,T-Mobile
SK,17,421903XXXXXX,mobile,T-Mobile
SK,17,421902XXXXXX,mobile,T-Mobile
SK,17,421901XXXXXX,mobile,T-Mobile
