Country,Page,Range,Type,Provider
SL,10,+2325239XXXX,geographic,Sierratel
SL,5,+2323234XXXX,geographic,Sierratel
SL,1,232,proper,
SL,5,+2323235XXXX,geographic,Sierratel
SL,10,+2325242XXXX,geographic,Sierratel
SL,10,+2325242XXXX,geographic,Sierratel
SL,5,+2323236XXXX,geographic,Sierratel
SL,10,+2325243XXXX,geographic,Sierratel
SL,1,+23222XXXXXX,geographic,
SL,3,+2322243XXXX,geographic,Sierratel
SL,5,+2323237XXXX,geographic,Sierratel
SL,1,+2322222XXXX,geographic,Sierratel
SL,11,+2325246XXXX,geographic,Sierratel
SL,5,+2323238XXXX,geographic,Sierratel
SL,1,+2322223XXXX,geographic,Sierratel
SL,10,+2325243XXXX,geographic,Sierratel
SL,3,+2322244XXXX,geographic,Sierratel
SL,11,+2325247XXXX,geographic,Sierratel
SL,5,+2323239XXXX,geographic,Sierratel
SL,1,+2322224XXXX,geographic,Sierratel
SL,1,+23221XXXXXX,mobile,Sierratel (LeoneCel)
SL,3,+2322245XXXX,geographic,Sierratel
SL,10,+2325244XXXX,geographic,Sierratel
SL,1,+2322225XXXX,geographic,Sierratel
SL,3,+23225XXXXXX,mobile,Sierratel (CDMA)
SL,10,+2325244XXXX,geographic,Sierratel
SL,11,+2325247XXXX,geographic,Sierratel
SL,3,+23230XXXXXX,mobile,Tigo (Sierra Leone) Ltd
SL,9,+2325234XXXX,geographic,Sierratel
SL,5,+2323242XXXX,geographic,Sierratel
SL,2,+2322229XXXX,geographic,Sierratel
SL,3,+2322246XXXX,geographic,Sierratel
SL,9,+2325235XXXX,geographic,Sierratel
SL,6,+23233XXXXXX,mobile,Comium (Sierra Leone) Ltd
SL,4,+2323222XXXX,geographic,Sierratel
SL,5,+2323243XXXX,geographic,Sierratel
SL,10,+2325245XXXX,geographic,Sierratel
SL,3,+2322247XXXX,geographic,Sierratel
SL,1,+2322226XXXX,geographic,Sierratel
SL,11,+2325248XXXX,geographic,Sierratel
SL,2,+2322232XXXX,geographic,Sierratel
SL,6,+2323246XXXX,geographic,Sierratel
SL,6,+23235XXXXXX,mobile,IPTEL (Sierra Leone) Ltd
SL,9,+2325235XXXX,geographic,Sierratel
SL,1,+2322227XXXX,geographic,Sierratel
SL,5,+2323244XXXX,geographic,Sierratel
SL,3,+2322248XXXX,geographic,Sierratel
SL,6,+23244XXXXXX,mobile,Intergroup
SL,1,+2322228XXXX,geographic,Sierratel
SL,4,+2323223XXXX,geographic,Sierratel
SL,6,+2323247XXXX,geographic,Sierratel
SL,10,+2325245XXXX,geographic,Sierratel
SL,8,+2325227XXXX,geographic,Sierratel
SL,5,+2323245XXXX,geographic,Sierratel
SL,9,+2325236XXXX,geographic,Sierratel
SL,11,+2325248XXXX,geographic,Sierratel
SL,2,+2322233XXXX,geographic,Sierratel
SL,6,+2323248XXXX,geographic,Sierratel
SL,10,+2325246XXXX,geographic,Sierratel
SL,9,+2325236XXXX,geographic,Sierratel
SL,4,+2323224XXXX,geographic,Sierratel
SL,11,+2325249XXXX,geographic,Sierratel
SL,2,+2322234XXXX,geographic,Sierratel
SL,7,+2325222XXXX,geographic,Sierratel
SL,9,+2325237XXXX,geographic,Sierratel
SL,11,+23255XXXXXX,mobile,AFCOM (Sierra Leone) Ltd
SL,8,+2325228XXXX,geographic,Sierratel
SL,11,+23266XXXXXX,mobile,Onlime (Sierra Leone) Ltd
SL,3,+2322249XXXX,geographic,Sierratel
SL,11,+23275XXXXXX,mobile,Orange (Sierra Leone)
SL,4,+2323225XXXX,geographic,Sierratel
SL,6,+2323249XXXX,geographic,Sierratel
SL,11,+2325249XXXX,geographic,Sierratel
SL,2,+2322235XXXX,geographic,Sierratel
SL,8,+2325228XXXX,geographic,Sierratel
SL,12,+23276XXXXXX,mobile,Airtel (Sierra Leone) Ltd
SL,12,+23277XXXXXX,mobile,Africell (Sierra Leone) Ltd
SL,12,+23278XXXXXX,mobile,Airtel (Sierra Leone) Ltd
SL,12,+23279XXXXXX,mobile,Airtel (Sierra Leone) Ltd
SL,9,+2325237XXXX,geographic,Sierratel
SL,12,+23288XXXXXX,mobile,Africell (Sierra Leone) Ltd
SL,4,+2323226XXXX,geographic,Sierratel
SL,8,+2325229XXXX,geographic,Sierratel
SL,2,+2322236XXXX,geographic,Sierratel
SL,9,+2325238XXXX,geographic,Sierratel
