Country,Page,Range,Type,Provider
SL,6,23235XXXXXX,mobile,IPTEL (Sierra Leone) Ltd
SL,3,23230XXXXXX,mobile,Tigo (Sierra Leone) Ltd
SL,6,23233XXXXXX,mobile,Comium (Sierra Leone) Ltd
SL,3,23225XXXXXX,mobile,Sierratel (CDMA)
SL,1,23221XXXXXX,mobile,Sierratel (LeoneCel)
SL,11,23255XXXXXX,mobile,AFCOM (Sierra Leone) Ltd
SL,6,23244XXXXXX,mobile,Intergroup
SL,12,23279XXXXXX,mobile,Airtel (Sierra Leone) Ltd
SL,11,23275XXXXXX,mobile,Orange (Sierra Leone)
SL,12,23276XXXXXX,mobile,Airtel (Sierra Leone) Ltd
SL,12,23277XXXXXX,mobile,Africell (Sierra Leone) Ltd
SL,12,23278XXXXXX,mobile,Airtel (Sierra Leone) Ltd
SL,11,23266XXXXXX,mobile,Onlime (Sierra Leone) Ltd
SL,12,23288XXXXXX,mobile,Africell (Sierra Leone) Ltd
