Country,Page,Range,Type,Provider
SO,10,+252595XXXX,geographic,NationLink Telecom
SO,12,+25267XXXXX,geographic,Golis Telecom Somalia
SO,2,+252162XXXX,geographic,Hormuud Telecom Somalia Inc (Hortel)
SO,10,+252596XXXX,geographic,NationLink Telecom
SO,13,+252766XXXX,geographic,Somtel International Ltd
SO,12,2526742010,geographic,Golis Telecom Somalia
SO,13,+252766XXXX,geographic,Somtel International Ltd
SO,10,+252597XXXX,geographic,NationLink Telecom
SO,8,+252545XXXX,geographic,Puntel
SO,12,+25268XXXXX,geographic,Golis Telecom Somalia
SO,8,+252546XXXX,geographic,Somali Telecommunications Company (STC)
SO,10,+2525971XXX,geographic,NationLink Telecom
SO,2,+252163XXXX,geographic,Hormuud Telecom Somalia Inc (Hortel)
SO,9,+2525655XXX,geographic,NationLink Telecom
SO,7,+2525137XXX,geographic,NationLink Telecom
SO,3,+252203XXX,geographic,Telcom Somalia
SO,14,+25287XXXX,satellite,Emir Set
SO,12,2526852010,geographic,Golis Telecom Somalia
SO,10,+2525972XXX,geographic,NationLink Telecom
SO,2,+252164XXXX,geographic,Hormuud Telecom Somalia Inc (Hortel)
SO,13,+252767XXXX,geographic,Somtel International Ltd
SO,4,+2523XXXXX,geographic,Somtel International Telecommunications
SO,8,+252547XXXX,geographic,Somali Telecommunications Company (STC)
SO,7,+2525151XXX,geographic,NationLink Telecom
SO,9,+2525657XXX,geographic,NationLink Telecom
SO,3,+252204XXXX,geographic,Telcom Somalia
SO,14,+25288XXXXX,geographic,Golis Telecom Somalia
SO,1,252,proper,
SO,2,+252165XXXX,geographic,Hormuud Telecom Somalia Inc (Hortel)
SO,9,+2525670XXX,geographic,NationLink Telecom
SO,3,+252208XXXX,geographic,Telcom Somalia
SO,8,+2525632XXX,geographic,NationLink Telecom
SO,7,+2525152XXX,geographic,NationLink Telecom
SO,10,+2525973XXX,geographic,NationLink Telecom
SO,3,+252210XXXX,geographic,Telcom Somalia
SO,1,+2521XXXXX,geographic,Somtel International Telecommunications
SO,2,+252166XXXX,geographic,Hormuud Telecom Somalia Inc (Hortel)
SO,13,+252781XXXX,geographic,Somtel International Ltd
SO,8,+2525633XXX,geographic,NationLink Telecom
SO,4,+252313XXX,geographic,Telcom Somalia
SO,10,+2525973XXX,geographic,NationLink Telecom
SO,3,+252211XXX,geographic,Telcom Somalia
SO,7,+2525153XXX,geographic,NationLink Telecom
SO,9,+2525671XXX,geographic,NationLink Telecom
SO,1,+25215XXXXXX,mobile,Hormuud Telecom Somalia Inc (Hortel)
SO,3,+25227XXXX,mobile,Telcom Somalia
SO,12,+25271XXXXX,geographic,
SO,14,+25288216XXX,satellite,Thuraya Satellite Telecommunications Company
SO,4,+25228XXXX,mobile,Telcom Somalia
SO,4,+25229XXXX,mobile,Telcom Somalia
SO,4,+25233XXXXX,geographic,Telcom Somalia
SO,4,+25235XXXXXX,mobile,AirSom Communications
SO,4,+25239XXXXXX,mobile,AirSom Communications
SO,2,+252168XXXX,geographic,Hormuud Telecom Somalia Inc (Hortel)
SO,9,+2525672XXX,geographic,NationLink Telecom
SO,4,+25240XXXXXX,mobile,Montysom Ltd
SO,8,+2525634XXX,geographic,NationLink Telecom
SO,12,+252762XXXX,geographic,Somtel International Ltd
SO,10,+2525973XXX,geographic,NationLink Telecom
SO,1,+2521XXXXX(X),geographic,
SO,4,+25242XXXXXX,mobile,Golis Telecom Somalia
SO,5,+25245XXXXXX,mobile,Golis Telecom Somalia
SO,7,+2525154XXX,geographic,NationLink Telecom
SO,8,+2525635XXX,geographic,NationLink Telecom
SO,5,+25246XXXXXX,mobile,Golis Telecom Somalia
