Country,Page,Range,Type,Provider
SR,7,+597338XXX,geographic,Telesur
SR,3,+597228XXX,geographic,Telesur
SR,10,+597533XXX,geographic,Telesur
SR,7,+597339XXX,geographic,Telesur
SR,3,+597229XXX,geographic,Telesur
SR,14,+597897XXXX,pager,Telesur
SR,10,+597534XXX,geographic,Telesur
SR,5,+597306XXX,geographic,Telesur
SR,3,+59723XXXX,geographic,Telesur
SR,13,+59780XXXXX,freephone,
SR,14,+597898XXXX,pager,Telesur
SR,10,+597535XXX,geographic,Telesur
SR,5,+597307XXX,geographic,Telesur
SR,14,+597900XXXX,premiumrate,
SR,3,+597230XXX,geographic,Telesur
SR,2,+597219XXX,geographic,Telesur
SR,5,+597308XXX,geographic,Telesur
SR,10,+597536XXX,geographic,Telesur
SR,7,+59734XXXX,geographic,Telesur
SR,2,+59722XXXX,geographic,Telesur
SR,3,+597231XXX,geographic,Telesur
SR,4,+597237XXX,geographic,Telesur
SR,10,+597538XXX,geographic,Telesur
SR,1,597,proper,
SR,5,+597309XXX,geographic,Telesur
SR,11,+59771XXXXX,mobile,Digicel Suriname N.V.
SR,2,+597220XXX,geographic,Telesur
SR,4,+597238XXX,geographic,Telesur
SR,11,+59772XXXXX,mobile,Digicel Suriname N.V.
SR,3,+597232XXX,geographic,Telesur
SR,12,+59773XXXXX,mobile,INTELSUR (UNIQA)
SR,11,+59758XXXX,geographic,Telesur
SR,12,+59774XXXXX,mobile,Digicel Suriname N.V.
SR,7,+597340XXX,geographic,Telesur
SR,4,+597239XXX,geographic,Telesur
SR,2,+597221XXX,geographic,Telesur
SR,12,+59775XXXXX,mobile,Telesur
SR,12,+597770XXXX,mobile,Telesur
SR,12,+597771XXXX,mobile,Telesur
SR,12,+597772XXXX,mobile,Telesur
SR,5,+59731XXXX,geographic,Telesur
SR,1,+597210XXX,geographic,Telesur
SR,11,+597580XXX,geographic,Telesur
SR,4,+59730XXXX,geographic,Telesur
SR,7,+597341XXX,geographic,Telesur
