Country,Page,Range,Type,Provider
SR,13,597779XXXX,mobile,Telesur
SR,13,597778XXXX,mobile,Telesur
SR,12,597771XXXX,mobile,Telesur
SR,12,597770XXXX,mobile,Telesur
SR,12,597773XXXX,mobile,Telesur
SR,12,597772XXXX,mobile,Telesur
SR,12,597775XXXX,mobile,Telesur
SR,12,597774XXXX,mobile,Telesur
SR,13,597777XXXX,mobile,Telesur
SR,12,597776XXXX,mobile,Telesur
SR,12,59774XXXXX,mobile,Digicel Suriname N.V.
SR,12,59775XXXXX,mobile,Telesur
SR,11,59772XXXXX,mobile,Digicel Suriname N.V.
SR,11,59771XXXXX,mobile,Digicel Suriname N.V.
SR,13,59785XXXXX,mobile,Telesur
SR,14,59787XXXXX,mobile,Telesur
SR,13,59786XXXXX,mobile,Telesur
SR,13,59781XXXXX,mobile,Digicel Suriname N.V.
SR,13,59782XXXXX,mobile,Digicel Suriname N.V.
SR,14,59789XXXXX,mobile,Telesur
SR,14,59788XXXXX,mobile,Telesur
